api,rtt_ms
PRIVATE_IP_022,4.359007
PRIVATE_IP_022,5.465031
PRIVATE_IP_022,9.161949
PRIVATE_IP_022,4.647017
PRIVATE_IP_022,4.295826
PRIVATE_IP_022,4.777908
PRIVATE_IP_022,5.416155
PRIVATE_IP_022,4.636049
PRIVATE_IP_022,4.743099
PRIVATE_IP_022,5.707979
PRIVATE_IP_022,4.566193
PRIVATE_IP_022,4.258871
PRIVATE_IP_022,5.974054
PRIVATE_IP_022,6.596804
PRIVATE_IP_022,4.674911
PRIVATE_IP_022,6.934881
PRIVATE_IP_022,5.269051
PRIVATE_IP_022,10.588884
PRIVATE_IP_022,6.873131
PRIVATE_IP_022,6.782055
PRIVATE_IP_022,4.330873
PRIVATE_IP_022,6.807804
PRIVATE_IP_022,5.363226
PRIVATE_IP_022,5.299807
PRIVATE_IP_022,5.004883
PRIVATE_IP_022,6.421804
PRIVATE_IP_022,8.905172
PRIVATE_IP_022,6.083965
PRIVATE_IP_022,5.217791
PRIVATE_IP_022,6.737947
PRIVATE_IP_022,5.907774
PRIVATE_IP_022,4.267931
PRIVATE_IP_022,5.857944
PRIVATE_IP_022,5.285025
PRIVATE_IP_022,4.843950
PRIVATE_IP_022,4.622936
PRIVATE_IP_022,4.400969
PRIVATE_IP_022,4.958868
PRIVATE_IP_022,3.690958
PRIVATE_IP_022,5.059004
PRIVATE_IP_022,7.299185
PRIVATE_IP_022,5.585194
PRIVATE_IP_022,4.977942
PRIVATE_IP_022,7.124901
PRIVATE_IP_022,4.760981
PRIVATE_IP_022,6.907940
PRIVATE_IP_022,6.278992
PRIVATE_IP_022,5.106926
PRIVATE_IP_022,8.465052
PRIVATE_IP_022,3.937006
PRIVATE_IP_022,7.491827
PRIVATE_IP_022,6.330967
PRIVATE_IP_022,4.173040
PRIVATE_IP_022,7.776976
PRIVATE_IP_022,3.616810
PRIVATE_IP_022,5.198956
PRIVATE_IP_022,5.460024
PRIVATE_IP_022,4.468918
PRIVATE_IP_022,5.059958
PRIVATE_IP_022,4.319906
PRIVATE_IP_022,4.296780
PRIVATE_IP_022,7.429123
PRIVATE_IP_022,4.474878
PRIVATE_IP_022,5.370855
PRIVATE_IP_022,7.529974
PRIVATE_IP_022,4.528046
PRIVATE_IP_022,6.733894
PRIVATE_IP_022,6.904840
PRIVATE_IP_022,4.455090
PRIVATE_IP_022,6.129980
PRIVATE_IP_022,6.917953
PRIVATE_IP_022,5.409002
PRIVATE_IP_022,6.673813
PRIVATE_IP_022,4.294872
PRIVATE_IP_022,3.746033
PRIVATE_IP_022,5.119801
PRIVATE_IP_022,5.632877
PRIVATE_IP_022,6.646872
PRIVATE_IP_022,4.863977
PRIVATE_IP_022,6.285906
PRIVATE_IP_022,4.358053
PRIVATE_IP_022,4.170895
PRIVATE_IP_022,6.819010
PRIVATE_IP_022,4.541874
PRIVATE_IP_022,6.237984
PRIVATE_IP_022,7.107019
PRIVATE_IP_022,7.453918
PRIVATE_IP_022,5.427122
PRIVATE_IP_022,5.685091
PRIVATE_IP_022,3.708124
PRIVATE_IP_022,5.038977
PRIVATE_IP_022,7.176161
PRIVATE_IP_022,4.437923
PRIVATE_IP_022,7.334948
PRIVATE_IP_022,8.260965
PRIVATE_IP_022,4.279852
PRIVATE_IP_022,5.112171
PRIVATE_IP_022,4.964828
PRIVATE_IP_022,6.854773
PRIVATE_IP_022,4.340887
PRIVATE_IP_022,4.976988
PRIVATE_IP_022,5.138874
PRIVATE_IP_022,4.431963
PRIVATE_IP_022,5.195856
PRIVATE_IP_022,3.947973
PRIVATE_IP_022,4.106998
PRIVATE_IP_022,5.109072
PRIVATE_IP_022,7.162094
PRIVATE_IP_022,2.983093
PRIVATE_IP_022,5.269766
PRIVATE_IP_022,5.126953
PRIVATE_IP_022,5.707026
PRIVATE_IP_022,4.559040
PRIVATE_IP_022,5.702972
PRIVATE_IP_022,5.162954
PRIVATE_IP_022,4.806042
PRIVATE_IP_022,5.082130
PRIVATE_IP_022,4.272223
PRIVATE_IP_022,7.304907
PRIVATE_IP_022,5.140066
PRIVATE_IP_022,5.200863
PRIVATE_IP_022,5.605936
PRIVATE_IP_022,7.663965
PRIVATE_IP_022,3.949881
PRIVATE_IP_022,3.735065
PRIVATE_IP_022,5.373955
PRIVATE_IP_022,3.515959
PRIVATE_IP_022,5.553007
PRIVATE_IP_022,4.601955
PRIVATE_IP_022,5.544901
PRIVATE_IP_022,8.362055
PRIVATE_IP_022,4.317045
PRIVATE_IP_022,4.271984
PRIVATE_IP_022,7.038116
PRIVATE_IP_022,4.570961
PRIVATE_IP_022,5.015135
PRIVATE_IP_022,4.796028
PRIVATE_IP_022,5.812168
PRIVATE_IP_022,4.396915
PRIVATE_IP_022,10.663986
PRIVATE_IP_022,3.940821
PRIVATE_IP_022,4.611015
PRIVATE_IP_022,6.376982
PRIVATE_IP_022,4.688978
PRIVATE_IP_022,6.103992
PRIVATE_IP_022,5.956888
PRIVATE_IP_022,4.893064
PRIVATE_IP_022,4.292965
PRIVATE_IP_022,4.760027
PRIVATE_IP_022,3.752232
PRIVATE_IP_022,7.769108
PRIVATE_IP_022,4.976034
PRIVATE_IP_022,5.610228
PRIVATE_IP_022,5.002022
PRIVATE_IP_022,3.705978
PRIVATE_IP_022,3.607035
PRIVATE_IP_022,3.942966
PRIVATE_IP_022,4.687786
PRIVATE_IP_022,4.017115
PRIVATE_IP_022,4.959822
PRIVATE_IP_022,5.048037
PRIVATE_IP_022,7.031202
PRIVATE_IP_022,5.547047
PRIVATE_IP_022,4.825115
PRIVATE_IP_022,7.458925
PRIVATE_IP_022,7.997036
PRIVATE_IP_022,5.243063
PRIVATE_IP_022,5.916119
PRIVATE_IP_022,5.894899
PRIVATE_IP_022,6.711006
PRIVATE_IP_022,5.392075
PRIVATE_IP_022,3.819942
PRIVATE_IP_022,6.512880
PRIVATE_IP_022,7.537842
PRIVATE_IP_022,5.053997
PRIVATE_IP_022,5.165100
PRIVATE_IP_022,6.036043
PRIVATE_IP_022,3.538132
PRIVATE_IP_022,4.971981
PRIVATE_IP_022,6.932020
PRIVATE_IP_022,5.921841
PRIVATE_IP_022,7.851124
PRIVATE_IP_022,5.911827
PRIVATE_IP_022,4.734993
PRIVATE_IP_022,6.256104
PRIVATE_IP_022,5.940199
PRIVATE_IP_022,7.539988
PRIVATE_IP_022,4.438877
PRIVATE_IP_022,6.989002
PRIVATE_IP_022,4.348993
PRIVATE_IP_022,6.994009
PRIVATE_IP_022,8.080959
PRIVATE_IP_022,5.630016
PRIVATE_IP_022,6.613016
PRIVATE_IP_022,6.208897
PRIVATE_IP_022,3.266096
PRIVATE_IP_022,6.395817
PRIVATE_IP_022,7.123947
PRIVATE_IP_022,8.999109
PRIVATE_IP_022,7.059813
PRIVATE_IP_022,4.346132
PRIVATE_IP_022,4.554987
PRIVATE_IP_022,4.546881
PRIVATE_IP_022,3.880024
PRIVATE_IP_022,4.328012
PRIVATE_IP_022,5.968094
PRIVATE_IP_022,3.345013
PRIVATE_IP_022,4.059076
PRIVATE_IP_022,3.726006
PRIVATE_IP_022,3.354073
PRIVATE_IP_022,5.169868
PRIVATE_IP_022,5.914927
PRIVATE_IP_022,5.889177
PRIVATE_IP_022,5.123854
PRIVATE_IP_022,9.978056
PRIVATE_IP_022,7.298946
PRIVATE_IP_022,7.094145
PRIVATE_IP_022,4.513025
PRIVATE_IP_022,4.948139
PRIVATE_IP_022,3.203869
PRIVATE_IP_022,3.447056
PRIVATE_IP_022,3.977060
PRIVATE_IP_022,3.983021
PRIVATE_IP_022,3.504038
PRIVATE_IP_022,4.790783
PRIVATE_IP_022,3.300905
PRIVATE_IP_022,6.921053
PRIVATE_IP_022,4.307985
PRIVATE_IP_022,5.445957
PRIVATE_IP_022,3.879070
PRIVATE_IP_022,5.089045
PRIVATE_IP_022,3.310204
PRIVATE_IP_022,4.268169
PRIVATE_IP_022,4.292965
PRIVATE_IP_022,3.288984
PRIVATE_IP_022,2.416134
PRIVATE_IP_022,4.934072
PRIVATE_IP_022,5.568981
PRIVATE_IP_022,3.291845
PRIVATE_IP_022,6.123066
PRIVATE_IP_022,3.499031
PRIVATE_IP_022,5.288124
PRIVATE_IP_022,5.115032
PRIVATE_IP_022,3.651142
PRIVATE_IP_022,3.154993
PRIVATE_IP_022,4.673004
PRIVATE_IP_022,4.703045
PRIVATE_IP_022,4.176855
PRIVATE_IP_022,3.660917
PRIVATE_IP_022,3.361940
PRIVATE_IP_022,3.163815
PRIVATE_IP_022,4.209042
PRIVATE_IP_022,3.749847
PRIVATE_IP_022,4.599094
PRIVATE_IP_022,3.744125
PRIVATE_IP_022,3.832102
PRIVATE_IP_022,3.789902
PRIVATE_IP_022,3.297091
PRIVATE_IP_022,4.121780
PRIVATE_IP_022,3.970146
PRIVATE_IP_022,3.675938
PRIVATE_IP_022,4.324913
PRIVATE_IP_022,3.520966
PRIVATE_IP_022,4.987955
PRIVATE_IP_022,3.407001
PRIVATE_IP_022,3.445864
PRIVATE_IP_022,3.481865
PRIVATE_IP_022,3.095150
