api,signature,cycle_ms
PRIVATE_IP_021,FC3_addr0_qty86,998.284101
PRIVATE_IP_021,FC3_addr94_qty86,994.518995
PRIVATE_IP_021,FC3_addr94_qty75,2001.531124
PRIVATE_IP_021,FC3_addr0_qty86,1000.854969
PRIVATE_IP_021,FC3_addr94_qty86,1002.759218
PRIVATE_IP_021,FC3_addr0_qty75,2001.502037
PRIVATE_IP_021,FC3_addr3_qty1,2002.935171
PRIVATE_IP_021,FC3_addr97_qty1,2002.509117
PRIVATE_IP_021,FC3_addr0_qty86,1000.040054
PRIVATE_IP_021,FC3_addr94_qty86,995.082855
PRIVATE_IP_021,FC3_addr94_qty75,2002.476931
PRIVATE_IP_021,FC3_addr0_qty86,1001.276016
PRIVATE_IP_021,FC3_addr94_qty86,1002.300978
PRIVATE_IP_021,FC3_addr0_qty75,1998.750925
PRIVATE_IP_021,FC3_addr3_qty1,1996.827841
PRIVATE_IP_021,FC3_addr97_qty1,1995.364904
PRIVATE_IP_021,FC3_addr0_qty86,999.310970
PRIVATE_IP_021,FC3_addr94_qty86,1001.285076
PRIVATE_IP_021,FC3_addr94_qty75,2000.588894
PRIVATE_IP_021,FC3_addr0_qty86,1001.967907
PRIVATE_IP_021,FC3_addr94_qty86,998.286009
PRIVATE_IP_021,FC3_addr0_qty75,2000.625134
PRIVATE_IP_021,FC3_addr3_qty1,2001.582146
PRIVATE_IP_021,FC3_addr97_qty1,1999.364138
PRIVATE_IP_021,FC3_addr0_qty86,999.055147
PRIVATE_IP_021,FC3_addr94_qty86,1000.053883
PRIVATE_IP_021,FC3_addr94_qty75,1998.122215
PRIVATE_IP_021,FC3_addr0_qty86,999.795914
PRIVATE_IP_021,FC3_addr94_qty86,1001.753092
PRIVATE_IP_021,FC3_addr0_qty75,2000.509024
PRIVATE_IP_021,FC3_addr3_qty1,1999.576807
PRIVATE_IP_021,FC3_addr97_qty1,2003.152847
PRIVATE_IP_021,FC3_addr0_qty86,1001.224041
PRIVATE_IP_021,FC3_addr94_qty86,1000.473976
PRIVATE_IP_021,FC3_addr94_qty75,2001.056910
PRIVATE_IP_021,FC3_addr0_qty86,999.803066
PRIVATE_IP_021,FC3_addr94_qty86,1001.435041
PRIVATE_IP_021,FC3_addr0_qty75,1998.935938
PRIVATE_IP_021,FC3_addr3_qty1,1997.531176
PRIVATE_IP_021,FC3_addr97_qty1,1995.784044
PRIVATE_IP_021,FC3_addr0_qty86,1001.444817
PRIVATE_IP_021,FC3_addr94_qty86,999.572039
PRIVATE_IP_021,FC3_addr94_qty75,2001.327991
PRIVATE_IP_021,FC3_addr0_qty86,1000.823975
PRIVATE_IP_021,FC3_addr94_qty86,1000.769854
PRIVATE_IP_021,FC3_addr0_qty75,2001.559019
PRIVATE_IP_021,FC3_addr3_qty1,2006.673813
PRIVATE_IP_021,FC3_addr97_qty1,2007.078171
PRIVATE_IP_021,FC3_addr0_qty86,999.939203
PRIVATE_IP_021,FC3_addr94_qty86,997.928143
PRIVATE_IP_021,FC3_addr94_qty75,2000.643969
PRIVATE_IP_021,FC3_addr0_qty86,1001.744986
PRIVATE_IP_021,FC3_addr94_qty86,1002.956867
PRIVATE_IP_021,FC3_addr0_qty75,2000.239849
PRIVATE_IP_021,FC3_addr3_qty1,1998.632193
PRIVATE_IP_021,FC3_addr97_qty1,2004.154921
PRIVATE_IP_021,FC3_addr0_qty86,999.997854
PRIVATE_IP_021,FC3_addr94_qty86,999.789000
PRIVATE_IP_021,FC3_addr94_qty75,2000.129938
PRIVATE_IP_021,FC3_addr0_qty86,1001.446009
PRIVATE_IP_021,FC3_addr94_qty86,1002.176046
PRIVATE_IP_021,FC3_addr0_qty75,2002.011061
PRIVATE_IP_021,FC3_addr3_qty1,2001.137018
PRIVATE_IP_021,FC3_addr97_qty1,1993.448973
PRIVATE_IP_021,FC3_addr0_qty86,1003.178120
PRIVATE_IP_021,FC3_addr94_qty86,1004.220963
PRIVATE_IP_021,FC3_addr94_qty75,2001.013041
PRIVATE_IP_021,FC3_addr0_qty86,998.587847
PRIVATE_IP_021,FC3_addr94_qty86,1007.796049
PRIVATE_IP_021,FC3_addr0_qty75,1999.886990
PRIVATE_IP_021,FC3_addr3_qty1,1999.061823
PRIVATE_IP_021,FC3_addr97_qty1,2002.719879
PRIVATE_IP_021,FC3_addr0_qty86,998.972178
PRIVATE_IP_021,FC3_addr94_qty86,992.908955
PRIVATE_IP_021,FC3_addr94_qty75,2001.665115
PRIVATE_IP_021,FC3_addr0_qty86,1002.434969
PRIVATE_IP_021,FC3_addr94_qty86,998.970032
PRIVATE_IP_021,FC3_addr0_qty75,2002.696991
PRIVATE_IP_021,FC3_addr3_qty1,2007.493019
PRIVATE_IP_021,FC3_addr97_qty1,2004.813194
PRIVATE_IP_021,FC3_addr0_qty86,998.594999
PRIVATE_IP_021,FC3_addr94_qty86,996.062994
PRIVATE_IP_021,FC3_addr94_qty75,2000.022888
PRIVATE_IP_021,FC3_addr0_qty86,999.079943
PRIVATE_IP_021,FC3_addr94_qty86,999.958038
PRIVATE_IP_021,FC3_addr0_qty75,1999.428988
PRIVATE_IP_021,FC3_addr3_qty1,1994.342089
PRIVATE_IP_021,FC3_addr97_qty1,1993.469954
PRIVATE_IP_021,FC3_addr0_qty86,999.890089
PRIVATE_IP_021,FC3_addr94_qty86,1001.578093
PRIVATE_IP_021,FC3_addr94_qty75,2001.438141
PRIVATE_IP_021,FC3_addr0_qty86,1000.500917
PRIVATE_IP_021,FC3_addr94_qty86,998.307943
PRIVATE_IP_021,FC3_addr0_qty75,2002.927065
PRIVATE_IP_021,FC3_addr3_qty1,2004.273891
PRIVATE_IP_021,FC3_addr97_qty1,2006.612062
PRIVATE_IP_021,FC3_addr0_qty86,999.571085
PRIVATE_IP_021,FC3_addr94_qty86,1004.212856
PRIVATE_IP_021,FC3_addr94_qty75,2006.114006
PRIVATE_IP_021,FC3_addr0_qty86,1000.967026
PRIVATE_IP_021,FC3_addr94_qty86,999.018192
PRIVATE_IP_021,FC3_addr0_qty75,1998.086929
PRIVATE_IP_021,FC3_addr3_qty1,2002.120018
PRIVATE_IP_021,FC3_addr97_qty1,2002.264023
PRIVATE_IP_021,FC3_addr0_qty86,1000.156879
PRIVATE_IP_021,FC3_addr94_qty86,1000.514030
PRIVATE_IP_021,FC3_addr94_qty75,1996.768951
PRIVATE_IP_021,FC3_addr0_qty86,999.592066
PRIVATE_IP_021,FC3_addr94_qty86,999.672890
PRIVATE_IP_021,FC3_addr0_qty75,2001.245022
PRIVATE_IP_021,FC3_addr3_qty1,1996.433020
PRIVATE_IP_021,FC3_addr97_qty1,1996.752977
PRIVATE_IP_021,FC3_addr0_qty86,1000.226021
PRIVATE_IP_021,FC3_addr94_qty86,997.657061
PRIVATE_IP_021,FC3_addr94_qty75,1999.004841
PRIVATE_IP_021,FC3_addr0_qty86,1003.708839
PRIVATE_IP_021,FC3_addr94_qty86,1009.060860
PRIVATE_IP_021,FC3_addr0_qty75,1999.889135
PRIVATE_IP_021,FC3_addr3_qty1,2004.415035
PRIVATE_IP_021,FC3_addr97_qty1,2004.645824
PRIVATE_IP_021,FC3_addr0_qty86,998.409033
PRIVATE_IP_021,FC3_addr94_qty86,996.427059
PRIVATE_IP_021,FC3_addr94_qty75,2001.001120
PRIVATE_IP_021,FC3_addr0_qty86,1004.343987
PRIVATE_IP_021,FC3_addr94_qty86,1005.249977
PRIVATE_IP_021,FC3_addr0_qty75,2001.317024
PRIVATE_IP_021,FC3_addr3_qty1,1998.888016
PRIVATE_IP_021,FC3_addr97_qty1,1998.643160
PRIVATE_IP_021,FC3_addr0_qty86,995.419979
PRIVATE_IP_021,FC3_addr94_qty86,1002.030134
PRIVATE_IP_021,FC3_addr94_qty75,2002.243042
PRIVATE_IP_021,FC3_addr0_qty86,1002.555132
PRIVATE_IP_021,FC3_addr94_qty86,992.410898
PRIVATE_IP_021,FC3_addr0_qty75,2002.125978
PRIVATE_IP_021,FC3_addr3_qty1,1999.695063
PRIVATE_IP_021,FC3_addr97_qty1,1997.637033
PRIVATE_IP_021,FC3_addr0_qty86,1001.184940
PRIVATE_IP_021,FC3_addr94_qty86,1003.138065
PRIVATE_IP_021,FC3_addr94_qty75,2001.775026
PRIVATE_IP_021,FC3_addr0_qty86,999.897957
PRIVATE_IP_021,FC3_addr94_qty86,1002.853870
PRIVATE_IP_021,FC3_addr0_qty75,2000.653028
PRIVATE_IP_021,FC3_addr3_qty1,2002.727985
