epoch,iso,cpu_pct,load1,mem_total_mib,mem_avail_mib,mem_used_mib,mem_used_pct,swap_used_mib,temp_max_c ,net_macsec0_rx_mbps,net_macsec0_tx_mbps,net_macsec0_total_mbps,net_macsec0_rx_pps,net_macsec0_tx_pps,net_macsec0_rx_errors_s,net_macsec0_tx_errors_s,net_macsec0_rx_drops_s,net_macsec0_tx_drops_s ,net_enp2s0_rx_mbps,net_enp2s0_tx_mbps,net_enp2s0_total_mbps,net_enp2s0_rx_pps,net_enp2s0_tx_pps,net_enp2s0_rx_errors_s,net_enp2s0_tx_errors_s,net_enp2s0_rx_drops_s,net_enp2s0_tx_drops_s ,net_enp1s0_rx_mbps,net_enp1s0_tx_mbps,net_enp1s0_total_mbps,net_enp1s0_rx_pps,net_enp1s0_tx_pps,net_enp1s0_rx_errors_s,net_enp1s0_tx_errors_s,net_enp1s0_rx_drops_s,net_enp1s0_tx_drops_s
1781801598.752654872,2026-06-18T16:53:18+00:00,5.231,0.16,7783.762,7260.535,523.227,6.722,0.000,48.00,0.006656,0.008856,0.015512,14.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.013120,0.011416,0.024536,19.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.007400,0.007648,0.015048,7.000000,16.000000,0.000000,0.000000,0.000000,0.000000
1781801599.921349118,2026-06-18T16:53:19+00:00,4.051,0.31,7783.762,7259.074,524.688,6.741,0.000,48.00,0.007744,0.012712,0.020456,16.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.015424,0.015784,0.031208,23.000000,13.000000,0.000000,0.000000,0.000000,0.000000,0.013192,0.011552,0.024744,13.000000,24.000000,0.000000,0.000000,0.000000,0.000000
1781801601.357600993,2026-06-18T16:53:21+00:00,8.070,0.31,7783.762,7259.848,523.914,6.731,0.000,48.00,0.007648,0.011136,0.018784,16.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.016328,0.014208,0.030536,23.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.012624,0.014376,0.027000,15.000000,27.000000,0.000000,0.000000,0.000000,0.000000
1781801602.687185669,2026-06-18T16:53:22+00:00,6.604,0.31,7783.762,7260.113,523.648,6.727,0.000,48.00,0.006656,0.009880,0.016536,14.000000,12.000000,0.000000,0.000000,1.000000,0.000000,0.012592,0.012952,0.025544,18.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.007912,0.005728,0.013640,8.000000,12.000000,0.000000,0.000000,0.000000,0.000000
1781801603.877729572,2026-06-18T16:53:23+00:00,4.863,0.37,7783.762,7259.637,524.125,6.734,0.000,49.00,0.006256,0.008472,0.014728,13.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.012480,0.010776,0.023256,19.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.008472,0.009632,0.018104,9.000000,21.000000,0.000000,0.000000,0.000000,0.000000
1781801605.039884399,2026-06-18T16:53:25+00:00,4.130,0.37,7783.762,7259.734,524.027,6.732,0.000,48.00,0.006688,0.015192,0.021880,14.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.033512,0.018008,0.051520,33.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.015192,0.029448,0.044640,11.000000,31.000000,0.000000,0.000000,0.000000,0.000000
1781801606.186431228,2026-06-18T16:53:26+00:00,3.501,0.37,7783.762,7259.266,524.496,6.738,0.000,49.00,0.006256,0.008440,0.014696,13.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.012960,0.011480,0.024440,20.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.010624,0.010592,0.021216,11.000000,22.000000,0.000000,0.000000,0.000000,0.000000
1781801607.343543995,2026-06-18T16:53:27+00:00,3.696,0.37,7783.762,7260.695,523.066,6.720,0.000,49.00,0.007216,0.011136,0.018352,15.000000,12.000000,0.000000,0.000000,1.000000,0.000000,0.016784,0.013472,0.030256,26.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.010408,0.012960,0.023368,13.000000,27.000000,0.000000,0.000000,0.000000,0.000000
1781801608.710287312,2026-06-18T16:53:28+00:00,7.353,0.37,7783.762,7259.488,524.273,6.735,0.000,48.00,0.006656,0.009880,0.016536,14.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.012160,0.012952,0.025112,18.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.008424,0.007648,0.016072,9.000000,16.000000,0.000000,0.000000,0.000000,0.000000
1781801609.891727577,2026-06-18T16:53:29+00:00,4.246,0.42,7783.762,7258.895,524.867,6.743,0.000,48.00,0.006256,0.009464,0.015720,13.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.017392,0.017320,0.034712,27.000000,14.000000,0.000000,0.000000,0.000000,0.000000,0.013736,0.012080,0.025816,14.000000,25.000000,0.000000,0.000000,0.000000,0.000000
1781801611.294666014,2026-06-18T16:53:31+00:00,7.540,0.42,7783.762,7257.523,526.238,6.761,0.000,47.00,0.008704,0.015920,0.024624,18.000000,15.000000,0.000000,0.000000,0.000000,0.000000,0.014912,0.014976,0.029888,23.000000,13.000000,0.000000,0.000000,0.000000,0.000000,0.011648,0.011072,0.022720,13.000000,23.000000,0.000000,0.000000,0.000000,0.000000
1781801612.466690706,2026-06-18T16:53:32+00:00,4.069,0.42,7783.762,7257.797,525.965,6.757,0.000,48.00,0.005200,0.008424,0.013624,11.000000,9.000000,0.000000,0.000000,1.000000,0.000000,0.011120,0.010728,0.021848,17.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.008424,0.007648,0.016072,9.000000,16.000000,0.000000,0.000000,0.000000,0.000000
1781801613.624730453,2026-06-18T16:53:33+00:00,4.357,0.42,7783.762,7257.168,526.594,6.765,0.000,48.00,0.008480,0.011400,0.019880,18.000000,15.000000,0.000000,0.000000,0.000000,0.000000,0.018864,0.016008,0.034872,30.000000,16.000000,0.000000,0.000000,0.000000,0.000000,0.011912,0.014256,0.026168,16.000000,30.000000,0.000000,0.000000,0.000000,0.000000
1781801614.776659306,2026-06-18T16:53:34+00:00,3.501,0.38,7783.762,7257.391,526.371,6.762,0.000,48.00,0.004768,0.008936,0.013704,10.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.015344,0.010728,0.026072,22.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.008424,0.012784,0.021208,9.000000,22.000000,0.000000,0.000000,0.000000,0.000000
1781801615.960184906,2026-06-18T16:53:35+00:00,4.255,0.38,7783.762,7258.551,525.211,6.748,0.000,48.00,0.006784,0.011312,0.018096,16.000000,13.000000,0.000000,0.000000,0.000000,0.000000,0.015424,0.017256,0.032680,23.000000,14.000000,0.000000,0.000000,0.000000,0.000000,0.013672,0.011072,0.024744,14.000000,23.000000,0.000000,0.000000,0.000000,0.000000
