server_ip,function_base,function_name,transactions,rtt_min_ms,rtt_avg_ms,rtt_median_ms,rtt_p95_ms,rtt_max_ms
PRIVATE_IP_015,3,Read Holding Registers,1498,2.7441978454589844,49.40185686933978,5.835533142089844,10.971271991729735,63821.16436958313
PRIVATE_IP_021,3,Read Holding Registers,1197,3.9825439453125,11.628628374639908,7.4005126953125,11.611700057983398,4219.942569732666
PRIVATE_IP_018,3,Read Holding Registers,450,2.599954605102539,6.149300999111599,4.640460014343262,6.994748115539549,571.2432861328125
PRIVATE_IP_017,3,Read Holding Registers,449,2.6204586029052734,29.44955103646939,4.678487777709961,6.503868103027343,10520.95079421997
PRIVATE_IP_019,3,Read Holding Registers,449,3.946542739868164,6.286366745199021,4.899263381958008,6.6069602966308585,557.5058460235596
PRIVATE_IP_025,4,Read Input Registers,300,1.687765121459961,4.072546164194743,2.1278858184814453,3.160858154296875,554.3026924133301
PRIVATE_IP_020,3,Read Holding Registers,300,3.1299591064453125,6.553874810536702,4.649043083190918,5.982470512390137,575.3586292266846
PRIVATE_IP_016,3,Read Holding Registers,150,13.543128967285156,29.466296831766766,17.686963081359863,109.2847943305969,155.22432327270508
PRIVATE_IP_009,3,Read Holding Registers,150,14.21499252319336,19.879050254821777,19.296884536743164,25.235128402709957,42.026519775390625
PRIVATE_IP_012,3,Read Holding Registers,149,14.612674713134766,20.589182040835386,20.68924903869629,25.231599807739258,35.89749336242676
PRIVATE_IP_013,3,Read Holding Registers,149,13.845205307006836,19.46850751070368,19.289493560791016,24.707841873168945,30.667781829833984
PRIVATE_IP_014,3,Read Holding Registers,149,13.898849487304688,20.227067422546796,20.184040069580078,25.203752517700195,36.22293472290039
