key,value
mode,pcap
iface,
pcap,LOCAL_PATH_REDACTED
port,502
window_sec,5.0
packets_read,29282
tcp_packets,29282
modbus_adus,10788
transactions,5398
matched_tx,5390
missing_responses,8
orphan_responses,0
exceptions,150
rtt_avg_ms,23.434
rtt_p95_ms,21.493
register_profiles,25
generated_at,2026-06-18T11:28:53
