frame_index,time_epoch,src_ip,dst_ip,src_port,dst_port,direction,payload_bytes,syn,fin,rst,ack,probable_retransmission
59,1781798343.0003004,PRIVATE_IP_018,PRIVATE_IP_001,502,41218,response,0,0,0,0,1,0
60,1781798343.0003583,PRIVATE_IP_021,PRIVATE_IP_001,502,38968,response,0,0,0,0,1,0
61,1781798343.0007477,PRIVATE_IP_001,PRIVATE_IP_016,38352,502,query,0,0,1,0,1,0
62,1781798343.0009859,PRIVATE_IP_019,PRIVATE_IP_001,502,41072,response,0,0,1,0,1,0
63,1781798343.0010717,PRIVATE_IP_001,PRIVATE_IP_019,41072,502,query,0,0,0,0,1,0
64,1781798343.0011363,PRIVATE_IP_001,PRIVATE_IP_017,41742,502,query,12,0,0,0,1,0
65,1781798343.001171,PRIVATE_IP_001,PRIVATE_IP_010,60608,502,query,12,0,0,0,1,0
66,1781798343.0013888,PRIVATE_IP_018,PRIVATE_IP_001,502,41218,response,0,0,1,0,1,0
67,1781798343.0014296,PRIVATE_IP_001,PRIVATE_IP_018,41218,502,query,0,0,0,0,1,0
68,1781798343.001687,PRIVATE_IP_021,PRIVATE_IP_001,502,38968,response,0,0,1,0,1,0
69,1781798343.0017285,PRIVATE_IP_001,PRIVATE_IP_021,38968,502,query,0,0,0,0,1,0
70,1781798343.0045688,PRIVATE_IP_001,PRIVATE_IP_022,60586,502,query,12,0,0,0,1,0
71,1781798343.0049393,PRIVATE_IP_010,PRIVATE_IP_001,502,60608,response,0,0,0,0,1,0
72,1781798343.0050578,PRIVATE_IP_022,PRIVATE_IP_001,502,35196,response,0,0,0,0,1,0
73,1781798343.0051332,PRIVATE_IP_016,PRIVATE_IP_001,502,38342,response,0,0,0,0,1,0
74,1781798343.0051923,PRIVATE_IP_019,PRIVATE_IP_001,502,47096,response,11,0,0,0,1,0
75,1781798343.005253,PRIVATE_IP_001,PRIVATE_IP_019,47096,502,query,0,0,0,0,1,0
76,1781798343.0056632,PRIVATE_IP_017,PRIVATE_IP_001,502,41742,response,0,0,0,0,1,0
77,1781798343.0057228,PRIVATE_IP_016,PRIVATE_IP_001,502,38352,response,0,0,0,0,1,0
78,1781798343.0086129,PRIVATE_IP_022,PRIVATE_IP_001,502,35196,response,0,0,1,0,1,0
79,1781798343.0086756,PRIVATE_IP_001,PRIVATE_IP_022,35196,502,query,0,0,0,0,1,0
80,1781798343.0108132,PRIVATE_IP_016,PRIVATE_IP_001,502,38342,response,0,0,1,0,1,0
81,1781798343.0108976,PRIVATE_IP_001,PRIVATE_IP_016,38342,502,query,0,0,0,0,1,0
82,1781798343.0112648,PRIVATE_IP_022,PRIVATE_IP_001,502,60586,response,159,0,0,0,1,0
83,1781798343.0113676,PRIVATE_IP_001,PRIVATE_IP_022,60586,502,query,0,0,0,0,1,0
84,1781798343.0126643,PRIVATE_IP_016,PRIVATE_IP_001,502,38352,response,0,0,1,0,1,0
85,1781798343.0127344,PRIVATE_IP_001,PRIVATE_IP_016,38352,502,query,0,0,0,0,1,0
86,1781798343.0194592,PRIVATE_IP_017,PRIVATE_IP_001,502,41742,response,9,0,0,0,1,0
87,1781798343.0195677,PRIVATE_IP_001,PRIVATE_IP_017,41742,502,query,0,0,0,0,1,0
88,1781798343.0217721,PRIVATE_IP_010,PRIVATE_IP_001,502,60608,response,53,0,0,0,1,0
89,1781798343.0218847,PRIVATE_IP_001,PRIVATE_IP_010,60608,502,query,0,0,0,0,1,0
90,1781798343.2544687,PRIVATE_IP_001,PRIVATE_IP_016,35554,502,query,12,0,0,0,1,0
91,1781798343.2588205,PRIVATE_IP_016,PRIVATE_IP_001,502,35554,response,53,0,0,0,1,0
92,1781798343.2589338,PRIVATE_IP_001,PRIVATE_IP_016,35554,502,query,0,0,0,0,1,0
93,1781798343.264376,PRIVATE_IP_001,PRIVATE_IP_016,35554,502,query,12,0,0,0,1,0
94,1781798343.2724676,PRIVATE_IP_016,PRIVATE_IP_001,502,35554,response,257,0,0,0,1,0
95,1781798343.2754655,PRIVATE_IP_001,PRIVATE_IP_016,35554,502,query,12,0,0,0,1,0
96,1781798343.2803175,PRIVATE_IP_016,PRIVATE_IP_001,502,35554,response,185,0,0,0,1,0
97,1781798343.2814665,PRIVATE_IP_001,PRIVATE_IP_018,46478,502,query,12,0,0,0,1,0
98,1781798343.2823,PRIVATE_IP_001,PRIVATE_IP_021,45716,502,query,12,0,0,0,1,0
99,1781798343.282371,PRIVATE_IP_001,PRIVATE_IP_019,49960,502,query,12,0,0,0,1,0
100,1781798343.2824197,PRIVATE_IP_001,PRIVATE_IP_026,51880,502,query,12,0,0,0,1,0
101,1781798343.2824626,PRIVATE_IP_001,PRIVATE_IP_020,52010,502,query,12,0,0,0,1,0
102,1781798343.2844255,PRIVATE_IP_026,PRIVATE_IP_001,502,51880,response,69,0,0,0,1,0
103,1781798343.2844856,PRIVATE_IP_001,PRIVATE_IP_026,51880,502,query,0,0,0,0,1,0
104,1781798343.2845957,PRIVATE_IP_001,PRIVATE_IP_016,35554,502,query,12,0,0,0,1,0
105,1781798343.2863274,PRIVATE_IP_018,PRIVATE_IP_001,502,46478,response,209,0,0,0,1,0
106,1781798343.286389,PRIVATE_IP_001,PRIVATE_IP_018,46478,502,query,0,0,0,0,1,0
107,1781798343.2866607,PRIVATE_IP_019,PRIVATE_IP_001,502,49960,response,209,0,0,0,1,0
108,1781798343.2867517,PRIVATE_IP_001,PRIVATE_IP_019,49960,502,query,0,0,0,0,1,0
109,1781798343.2868063,PRIVATE_IP_021,PRIVATE_IP_001,502,45716,response,209,0,0,0,1,0
110,1781798343.286871,PRIVATE_IP_001,PRIVATE_IP_021,45716,502,query,0,0,0,0,1,0
111,1781798343.2871525,PRIVATE_IP_020,PRIVATE_IP_001,502,52010,response,209,0,0,0,1,0
112,1781798343.2872417,PRIVATE_IP_001,PRIVATE_IP_020,52010,502,query,0,0,0,0,1,0
113,1781798343.2887752,PRIVATE_IP_016,PRIVATE_IP_001,502,35554,response,75,0,0,0,1,0
114,1781798343.3292148,PRIVATE_IP_001,PRIVATE_IP_016,35554,502,query,0,0,0,0,1,0
115,1781798343.336762,PRIVATE_IP_001,PRIVATE_IP_023,53340,502,query,0,1,0,0,0,0
116,1781798343.3387063,PRIVATE_IP_023,PRIVATE_IP_001,502,53340,response,0,0,0,1,1,0
117,1781798343.4900668,PRIVATE_IP_001,PRIVATE_IP_011,47544,502,query,0,1,0,0,0,0
118,1781798343.5891972,PRIVATE_IP_001,PRIVATE_IP_022,60550,502,query,12,0,0,0,1,0
119,1781798343.5955808,PRIVATE_IP_022,PRIVATE_IP_001,502,60550,response,181,0,0,0,1,0
120,1781798343.5956712,PRIVATE_IP_001,PRIVATE_IP_022,60550,502,query,0,0,0,0,1,0
121,1781798343.5992737,PRIVATE_IP_001,PRIVATE_IP_022,60550,502,query,12,0,0,0,1,0
122,1781798343.6054966,PRIVATE_IP_022,PRIVATE_IP_001,502,60550,response,181,0,0,0,1,0
123,1781798343.646098,PRIVATE_IP_001,PRIVATE_IP_022,60550,502,query,0,0,0,0,1,0
124,1781798343.9951167,PRIVATE_IP_001,PRIVATE_IP_016,38362,502,query,0,1,0,0,0,0
125,1781798343.9951658,PRIVATE_IP_001,PRIVATE_IP_018,41230,502,query,0,1,0,0,0,0
126,1781798343.9951966,PRIVATE_IP_001,PRIVATE_IP_019,41082,502,query,0,1,0,0,0,0
127,1781798343.9952197,PRIVATE_IP_001,PRIVATE_IP_021,38980,502,query,0,1,0,0,0,0
128,1781798343.9952419,PRIVATE_IP_001,PRIVATE_IP_016,38372,502,query,0,1,0,0,0,0
129,1781798343.9952695,PRIVATE_IP_001,PRIVATE_IP_022,35200,502,query,0,1,0,0,0,0
130,1781798343.998298,PRIVATE_IP_018,PRIVATE_IP_001,502,41230,response,0,1,0,0,1,0
131,1781798343.9983566,PRIVATE_IP_001,PRIVATE_IP_018,41230,502,query,0,0,0,0,1,0
132,1781798343.9986043,PRIVATE_IP_019,PRIVATE_IP_001,502,41082,response,0,1,0,0,1,0
133,1781798343.9986544,PRIVATE_IP_001,PRIVATE_IP_019,41082,502,query,0,0,0,0,1,0
134,1781798343.9986942,PRIVATE_IP_021,PRIVATE_IP_001,502,38980,response,0,1,0,0,1,0
135,1781798343.99873,PRIVATE_IP_001,PRIVATE_IP_021,38980,502,query,0,0,0,0,1,0
136,1781798343.9991164,PRIVATE_IP_022,PRIVATE_IP_001,502,35200,response,0,1,0,0,1,0
137,1781798343.9991639,PRIVATE_IP_001,PRIVATE_IP_022,35200,502,query,0,0,0,0,1,0
138,1781798343.9999948,PRIVATE_IP_016,PRIVATE_IP_001,502,38362,response,0,1,0,0,1,0
139,1781798344.0000906,PRIVATE_IP_001,PRIVATE_IP_016,38362,502,query,0,0,0,0,1,0
