procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   4132 1415480 406900 21070924    0    0     0    80 2828 2138  5  3 92  0  0  0
 1  0   4132 1410892 406900 21070948    0    0     0  1148 3919 3126  5  4 91  0  0  0
 1  0   4132 1410792 406900 21070976    0    0     0   184 3163 2470  5  3 92  0  0  0
 1  0   4132 1414340 406900 21071028    0    0     0   572 2802 2310  5  3 93  0  0  0
 1  0   4132 1420484 406900 21071040    0    0     0    80 2565 2100  4  2 94  0  0  0
 2  0   4132 1419724 406900 21071080    0    0     0   124 3200 2295  8  2 90  0  0  0
 1  0   4132 1416448 406900 21071100    0    0     0   440 3745 2966  6  4 91  0  0  0
 1  0   4132 1413708 406900 21071132    0    0     0   128 2561 2110  4  2 94  0  0  0
 1  0   4132 1411188 406900 21071156    0    0     0   540 4694 4464  6  3 91  0  0  0
 2  0   4132 1416264 406900 21071168    0    0     0   376 2902 2307  5  2 93  0  0  0
 1  0   4132 1412308 406900 21071208    0    0     0    96 7079 8614  9  5 86  0  0  0
 4  0   4132 1422620 406900 21071228    0    0     0   224 3026 2011  5  3 91  0  0  0
 2  0   4132 1417956 406900 21071248    0    0     0   348 3726 2939  5  3 92  0  0  0
 1  0   4132 1413676 406900 21071280    0    0     0   400 2929 2370  4  2 93  0  0  0
 1  0   4132 1416448 406900 21071300    0    0     0    96 2647 2293  4  2 94  0  0  0
 1  0   4132 1414684 406900 21071324    0    0     0   376 2811 2277  4  2 94  0  0  0
 1  0   4132 1410024 406900 21071340    0    0     0   136 4182 3911 10  3 87  0  0  0
 2  0   4132 1415424 406900 21071384    0    0     0  1360 4274 3004  6  4 90  0  0  0
 1  0   4132 1411180 406900 21071404    0    0     0   524 4493 4674  6  4 90  0  0  0
 1  0   4132 1417080 406900 21071428    0    0     0   360 2855 2260  4  2 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0   4132 1421440 406900 21071452    0    0     0    88 4116 4177  5  3 92  0  0  0
