run_id,scenario,target,iface,algorithm,throughput_kBps,source_file,notes
macsec_PRIVATE_IP_022_20260618_121101,macsec,PRIVATE_IP_022,tun0,aes_128_gcm,5.86e+07,raw/openssl_speed_aes_128_gcm.log,Mayor valor de throughput reportado por openssl speed; unidad original aproximada kB/s.
macsec_PRIVATE_IP_022_20260618_121101,macsec,PRIVATE_IP_022,tun0,aes_256_gcm,5.74e+07,raw/openssl_speed_aes_256_gcm.log,Mayor valor de throughput reportado por openssl speed; unidad original aproximada kB/s.
macsec_PRIVATE_IP_022_20260618_121101,macsec,PRIVATE_IP_022,tun0,chacha20_poly1305,3.86e+07,raw/openssl_speed_chacha20_poly1305.log,Mayor valor de throughput reportado por openssl speed; unidad original aproximada kB/s.
