key,value
mode,pcap
iface,
pcap,LOCAL_PATH_REDACTED
port,502
window_sec,5
packets_read,5546
tcp_packets,5546
modbus_adus,2400
transactions,1200
matched_tx,1200
missing_responses,0
orphan_responses,0
exceptions,0
rtt_avg_ms,7.554
rtt_p95_ms,10.246
register_profiles,6
generated_at,2026-06-18T12:34:39
