src_ip,dst_ip,direction,packets,payload_bytes,syn_count,fin_count,rst_count,probable_retransmissions
PRIVATE_IP_001,PRIVATE_IP_021,query,3449,14400,299,302,0,0
PRIVATE_IP_021,PRIVATE_IP_001,response,2097,159600,299,299,0,0
