src_ip,dst_ip,direction,adu_count,adu_bytes,tcp_payload_bytes
PRIVATE_IP_001,PRIVATE_IP_021,query,1200,14400,14400
PRIVATE_IP_021,PRIVATE_IP_001,response,1200,159600,159600
