frame_index,time_epoch,src_ip,dst_ip,src_port,dst_port,direction,transaction_id,protocol_id,length,unit_id,function_code,function_base,function_name,is_exception,exception_code,reference_num,quantity,byte_count,value_hex,adu_bytes,tcp_payload_bytes,register_signature
64,1781802239.8811982,PRIVATE_IP_001,PRIVATE_IP_022,35586,502,query,254,0,6,1,3,3,Read Holding Registers,False,,94.0,86.0,,,12,12,fc3:unit1:reg94:qty86:serverPRIVATE_IP_022
65,1781802239.8901339,PRIVATE_IP_022,PRIVATE_IP_001,502,35586,response,254,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
75,1781802240.8627694,PRIVATE_IP_001,PRIVATE_IP_022,50432,502,query,152,0,6,1,3,3,Read Holding Registers,False,,94.0,75.0,,,12,12,fc3:unit1:reg94:qty75:serverPRIVATE_IP_022
76,1781802240.8674772,PRIVATE_IP_001,PRIVATE_IP_022,35586,502,query,255,0,6,1,3,3,Read Holding Registers,False,,0.0,86.0,,,12,12,fc3:unit1:reg0:qty86:serverPRIVATE_IP_022
77,1781802240.8692212,PRIVATE_IP_022,PRIVATE_IP_001,502,50432,response,152,0,153,1,3,3,Read Holding Registers,False,,,,150.0,REDACTED_PAYLOAD,159,159,
79,1781802240.874349,PRIVATE_IP_022,PRIVATE_IP_001,502,35586,response,255,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
81,1781802240.8791103,PRIVATE_IP_001,PRIVATE_IP_022,35586,502,query,0,0,6,1,3,3,Read Holding Registers,False,,94.0,86.0,,,12,12,fc3:unit1:reg94:qty86:serverPRIVATE_IP_022
82,1781802240.888124,PRIVATE_IP_022,PRIVATE_IP_001,502,35586,response,0,0,175,1,3,3,Read Holding Registers,False,,,,172.0,REDACTED_PAYLOAD,181,181,
92,1781802241.8488338,PRIVATE_IP_001,PRIVATE_IP_022,50432,502,query,153,0,6,1,3,3,Read Holding Registers,False,,0.0,75.0,,,12,12,fc3:unit1:reg0:qty75:serverPRIVATE_IP_022
93,1781802241.8551562,PRIVATE_IP_022,PRIVATE_IP_001,502,50432,response,153,0,153,1,3,3,Read Holding Registers,False,,,,150.0,REDACTED_PAYLOAD,159,159,
95,1781802241.8594706,PRIVATE_IP_001,PRIVATE_IP_022,50432,502,query,154,0,6,1,3,3,Read Holding Registers,False,,3.0,1.0,,,12,12,fc3:unit1:reg3:qty1:serverPRIVATE_IP_022
96,1781802241.865453,PRIVATE_IP_022,PRIVATE_IP_001,502,50432,response,154,0,5,1,3,3,Read Holding Registers,False,,,,2.0,REDACTED_PAYLOAD,11,11,
