procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   4132 2335216 402268 20330292    0    0     0   336 4455 3209  5  4 91  0  0  0
 1  0   4132 2333956 402268 20330316    0    0     0    72 3230 2322  5  3 93  0  0  0
 1  0   4132 2331744 402268 20330332    0    0     0   104 2942 1912  4  2 94  0  0  0
 1  0   4132 2329980 402268 20330356    0    0     0    72 3051 2068  4  2 93  0  0  0
 9  0   4132 2337352 402268 20330388    0    0     0   896 3698 2470  6  3 91  0  0  0
 2  0   4132 2330816 402268 20330420    0    0     0  1188 4694 3103  9  4 87  0  0  0
 2  0   4132 2327820 402268 20330452    0    0     0   116 2969 2029  4  2 94  0  0  0
 2  0   4132 2326564 402268 20330468    0    0     0    72 3156 2204  4  2 93  0  0  0
 1  0   4132 2324924 402268 20330504    0    0     0   112 3384 2446  5  2 93  0  0  0
 1  0   4132 2321560 402268 20330524    0    0     0    88 3304 2459  4  2 93  0  0  0
 1  0   4132 2321072 402268 20330552    0    0     0   264 4434 3915  5  3 92  0  0  0
 1  0   4132 2320052 402268 20330576    0    0     0  1008 7710 8737  8  5 87  0  0  0
 2  0   4132 2320108 402268 20330612    0    0     0   108 3306 2401  5  2 93  0  0  0
 3  0   4132 2320108 402268 20330632    0    0     0    88 2972 2133  4  2 94  0  0  0
 1  0   4132 2322348 402268 20330660    0    0     0   120 3385 2393  5  2 93  0  0  0
 1  0   4132 2325772 402268 20330700    0    0     0   312 3699 2472  9  2 89  0  0  0
 1  0   4132 2318508 402268 20330708    0    0     0   836 4677 3226  6  4 90  0  0  0
 1  0   4132 2319684 402268 20330772    0    0     0    80 3174 2184  5  2 93  0  0  0
 2  0   4132 2324672 402268 20330800    0    0     0   116 3352 2356  4  2 93  0  0  0
 2  0   4132 2321352 402268 20330824    0    0     0    88 3072 2034  5  2 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   4132 2326168 402268 20330852    0    0     0   256 4939 4225  6  3 91  0  0  0
 1  0   4132 2324936 402268 20330908    0    0     0   140 3986 2666  6  4 91  0  0  0
 3  0   4132 2332528 402268 20330924    0    0     0   136 3272 2068  5  3 93  0  0  0
 1  0   4132 2330548 402268 20330940    0    0     0    72 3186 2223  4  2 94  0  0  0
 1  0   4132 2328784 402268 20330976    0    0     0   128 3206 2195  4  2 93  0  0  0
 1  0   4132 2326796 402268 20331000    0    0     0   344 3015 2074  4  2 93  0  0  0
 1  0   4132 2322524 402268 20331044    0    0     0   912 4947 3476 11  4 85  0  0  0
 2  0   4132 2323852 402268 20331080    0    0     0   104 3384 2485  4  2 94  0  0  0
 1  0   4132 2322592 402268 20331096    0    0     0   112 2976 2109  4  2 94  0  0  0
 2  0   4132 2319820 402268 20331124    0    0     0   104 3111 2290  4  2 94  0  0  0
 1  0   4132 2316944 402268 20331140    0    0     0   268 3394 2386  5  2 93  0  0  0
 2  0   4132 2316692 402268 20331172    0    0     0    76 2869 1937  4  2 94  0  0  0
 2  0   4132 2313388 402268 20331188    0    0     0  1100 5270 4342  7  5 88  0  0  0
 1  0   4132 2314816 402268 20331224    0    0     0    80 3411 2277  5  3 93  0  0  0
 1  0   4132 2316088 402268 20331252    0    0     0   128 3455 2436  5  2 93  0  0  0
 1  0   4132 2315676 402268 20331288    0    0     0  1068 3347 2326  4  2 94  0  0  0
 2  0   4132 2317732 402268 20331308    0    0     0   132 3373 2292  5  3 93  0  0  0
