Linux 6.8.0-55-generic (ubuntu) 	16/06/26 	_x86_64_	(8 CPU)

15:59:37     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:59:44       3   24,00    0,00    4,00    0,00    0,00    2,00    0,00    0,00    0,00   70,00
15:59:44       4    1,00    0,00    2,00    0,00    0,00    1,00    0,00    0,00    0,00   96,00
15:59:44       5    2,04    0,00    3,06    0,00    0,00    0,00    0,00    0,00    0,00   94,90
15:59:44       6    4,04    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   93,94
15:59:44       7    1,01    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   96,97

15:59:44     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:59:45     all    5,56    0,00    2,78    0,25    0,00    0,00    0,00    0,00    0,00   91,40
15:59:45       0    1,02    0,00    5,10    0,00    0,00    0,00    0,00    0,00    0,00   93,88
15:59:45       1    3,96    0,00    2,97    0,99    0,00    0,00    0,00    0,00    0,00   92,08
15:59:45       2    3,03    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   95,96
15:59:45       3   24,74    0,00    4,12    0,00    0,00    0,00    0,00    0,00    0,00   71,13
15:59:45       4    3,09    0,00    1,03    0,00    0,00    0,00    0,00    0,00    0,00   95,88
15:59:45       5    4,00    0,00    6,00    0,00    0,00    0,00    0,00    0,00    0,00   90,00
15:59:45       6    4,00    0,00    2,00    1,00    0,00    0,00    0,00    0,00    0,00   93,00
15:59:45       7    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99

15:59:45     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:59:46     all    3,91    0,00    3,16    0,13    0,00    0,38    0,00    0,00    0,00   92,42
15:59:46       0    1,00    0,00    2,00    0,00    0,00    1,00    0,00    0,00    0,00   96,00
15:59:46       1    0,00    0,00    1,02    0,00    0,00    1,02    0,00    0,00    0,00   97,96
15:59:46       2    2,04    0,00   12,24    0,00    0,00    0,00    0,00    0,00    0,00   85,71
15:59:46       3   22,45    0,00    3,06    0,00    0,00    1,02    0,00    0,00    0,00   73,47
15:59:46       4    2,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   96,00
15:59:46       5    3,03    0,00    3,03    0,00    0,00    0,00    0,00    0,00    0,00   93,94
15:59:46       6    1,02    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   97,96
15:59:46       7    0,00    0,00    0,99    0,99    0,00    0,00    0,00    0,00    0,00   98,02

15:59:46     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:59:47     all    9,36    0,00    2,28    0,13    0,00    0,25    0,00    0,00    0,00   87,99
15:59:47       0   21,43    0,00    3,06    0,00    0,00    0,00    0,00    0,00    0,00   75,51
15:59:47       1    2,02    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   95,96
15:59:47       2   14,14    0,00    1,01    0,00    0,00    1,01    0,00    0,00    0,00   83,84
15:59:47       3    6,00    0,00    2,00    0,00    0,00    1,00    0,00    0,00    0,00   91,00
15:59:47       4   10,00    0,00    3,00    1,00    0,00    0,00    0,00    0,00    0,00   86,00
15:59:47       5   10,31    0,00    3,09    0,00    0,00    0,00    0,00    0,00    0,00   86,60
15:59:47       6    9,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   89,00
15:59:47       7    2,04    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   95,92

15:59:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:59:48     all    4,17    0,00    1,90    0,00    0,00    0,51    0,00    0,00    0,00   93,43
15:59:48       0    0,00    0,00    2,00    0,00    0,00    1,00    0,00    0,00    0,00   97,00
15:59:48       1    1,02    0,00    0,00    0,00    0,00    1,02    0,00    0,00    0,00   97,96
15:59:48       2   22,68    0,00    4,12    0,00    0,00    0,00    0,00    0,00    0,00   73,20
15:59:48       3    2,04    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   96,94
15:59:48       4    1,00    0,00    1,00    0,00    0,00    1,00    0,00    0,00    0,00   97,00
15:59:48       5    3,96    0,00    4,95    0,00    0,00    0,99    0,00    0,00    0,00   90,10
15:59:48       6    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99
15:59:48       7    2,04    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   95,92

15:59:48     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:59:49     all    7,28    0,00    5,27    0,25    0,00    0,13    0,00    0,00    0,00   87,08
15:59:49       0    6,00    0,00    6,00    0,00    0,00    0,00    0,00    0,00    0,00   88,00
15:59:49       1    3,03    0,00    5,05    0,00    0,00    0,00    0,00    0,00    0,00   91,92
15:59:49       2   18,63    0,00    4,90    0,98    0,00    0,98    0,00    0,00    0,00   74,51
15:59:49       3    8,16    0,00    4,08    0,00    0,00    0,00    0,00    0,00    0,00   87,76
15:59:49       4    6,06    0,00    4,04    0,00    0,00    0,00    0,00    0,00    0,00   89,90
15:59:49       5    5,00    0,00    9,00    0,00    0,00    0,00    0,00    0,00    0,00   86,00
15:59:49       6    3,96    0,00    5,94    0,99    0,00    0,00    0,00    0,00    0,00   89,11
15:59:49       7    7,14    0,00    3,06    0,00    0,00    0,00    0,00    0,00    0,00   89,80

15:59:49     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:59:50     all    5,08    0,00    2,29    0,00    0,00    0,25    0,00    0,00    0,00   92,38
15:59:50       0    1,03    0,00    2,06    0,00    0,00    0,00    0,00    0,00    0,00   96,91
15:59:50       1    1,02    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   97,96
