sample,elapsed_s,mem_total_mib,swpd_mib,free_mib,buff_mib,cache_mib,available_proxy_mib,used_including_cache_mib,used_including_cache_pct,used_without_buffer_cache_mib,used_without_buffer_cache_pct,swap_in_kib_s,swap_out_kib_s,context_switches_s,cpu_user_pct,cpu_system_pct,cpu_idle_pct,cpu_iowait_pct
27,26,24032.0,2.2734375,1349.28125,392.6875,19932.96484375,21674.93359375,22682.71875,94.38548081724367,2357.06640625,9.808032649176099,0.0,0.0,2927.0,4.0,3.0,93.0,0.0
28,27,24032.0,2.2734375,1342.89453125,392.6875,19932.98828125,21668.5703125,22689.10546875,94.41205671084387,2363.4296875,9.834511016561253,0.0,0.0,4006.0,3.0,3.0,95.0,0.0
29,28,24032.0,2.2734375,1348.84765625,392.6875,19933.01171875,21674.546875,22683.15234375,94.38728505222204,2357.453125,9.809641831724369,0.0,0.0,2177.0,2.0,2.0,95.0,0.0
30,29,24032.0,2.2734375,1351.5703125,392.6875,19933.01953125,21677.27734375,22680.4296875,94.37595575690746,2354.72265625,9.798280027671439,0.0,0.0,2163.0,2.0,2.0,96.0,0.0
31,30,24032.0,2.2734375,1351.08203125,392.6875,19933.0234375,21676.79296875,22680.91796875,94.37798755305427,2355.20703125,9.800295569449068,0.0,0.0,1658.0,2.0,1.0,97.0,0.0
32,31,24032.0,2.2734375,1349.90625,392.6875,19933.05859375,21675.65234375,22682.09375,94.38288011817576,2356.34765625,9.805041845248002,0.0,0.0,1908.0,2.0,2.0,96.0,0.0
33,32,24032.0,2.2734375,1346.71875,392.6875,19933.08984375,21672.49609375,22685.28125,94.39614368342211,2359.50390625,9.818175375540946,0.0,0.0,2973.0,4.0,4.0,92.0,0.0
34,33,24032.0,2.2734375,1346.44921875,392.6875,19933.109375,21672.24609375,22685.55078125,94.39726523489514,2359.75390625,9.81921565516811,0.0,0.0,1847.0,2.0,2.0,96.0,0.0
35,34,24032.0,2.2734375,1346.44921875,392.6875,19933.1328125,21672.26953125,22685.55078125,94.39726523489514,2359.73046875,9.819118128953063,0.0,0.0,1896.0,2.0,2.0,96.0,0.0
36,35,24032.0,2.2734375,1348.22265625,392.6875,19933.15625,21674.06640625,22683.77734375,94.38988575128995,2357.93359375,9.811641119132823,0.0,0.0,2068.0,2.0,2.0,96.0,0.0
