run_id,scenario,target,iface,service,n,min_ms,q1_ms,median_ms,mean_ms,q3_ms,p95_ms,p99_ms,max_ms,std_ms,ci95_low_ms,ci95_high_ms,source_file
baseline_PRIVATE_IP_021_20260529_154853,baseline,PRIVATE_IP_021,tun0,ICMP,2500,1.860,2.510,2.670,2.805,2.982,3.600,4.290,8.870,0.459,2.787,2.823,raw/ping_PRIVATE_IP_021.log
baseline_PRIVATE_IP_021_20260529_154853,baseline,PRIVATE_IP_021,tun0,TCP_CONNECT,500,2.363,3.610,3.782,3.770,3.940,4.275,4.843,5.978,0.382,3.737,3.804,csv/tcp_connect_PRIVATE_IP_021_502.csv
