key,value
mode,pcap
iface,
pcap,.\modbus_tun0_300s_20260616_165905.pcapng
port,502
window_sec,5.0
packets_read,29327
tcp_packets,29327
modbus_adus,10792
transactions,5396
matched_tx,5396
missing_responses,0
orphan_responses,0
exceptions,150
rtt_avg_ms,7.728
rtt_p95_ms,20.768
register_profiles,25
generated_at,2026-06-16T17:12:02
