frame_index,time_epoch,src_ip,dst_ip,src_port,dst_port,direction,payload_bytes,syn,fin,rst,ack,probable_retransmission
59,1781647145.5317535,PRIVATE_IP_001,PRIVATE_IP_015,57298,502,query,0,0,0,0,1,0
60,1781647145.532984,PRIVATE_IP_015,PRIVATE_IP_001,502,57312,response,0,0,1,0,1,0
61,1781647145.5330472,PRIVATE_IP_001,PRIVATE_IP_015,57312,502,query,0,0,0,0,1,0
62,1781647145.5540283,PRIVATE_IP_001,PRIVATE_IP_021,60770,502,query,12,0,0,0,1,0
63,1781647145.5602794,PRIVATE_IP_021,PRIVATE_IP_001,502,60770,response,181,0,0,0,1,0
64,1781647145.5603895,PRIVATE_IP_001,PRIVATE_IP_021,60770,502,query,0,0,0,0,1,0
65,1781647145.5629754,PRIVATE_IP_001,PRIVATE_IP_021,60770,502,query,12,0,0,0,1,0
66,1781647145.5730033,PRIVATE_IP_021,PRIVATE_IP_001,502,60770,response,181,0,0,0,1,0
67,1781647145.6141717,PRIVATE_IP_001,PRIVATE_IP_021,60770,502,query,0,0,0,0,1,0
68,1781647145.794174,PRIVATE_IP_001,PRIVATE_IP_010,60136,502,query,0,1,0,0,0,0
69,1781647146.1072357,PRIVATE_IP_001,PRIVATE_IP_015,54632,502,query,12,0,0,0,1,0
70,1781647146.1146283,PRIVATE_IP_015,PRIVATE_IP_001,502,54632,response,0,0,0,0,1,0
71,1781647146.1164598,PRIVATE_IP_015,PRIVATE_IP_001,502,54632,response,53,0,0,0,1,0
72,1781647146.1165366,PRIVATE_IP_001,PRIVATE_IP_015,54632,502,query,0,0,0,0,1,0
73,1781647146.1189265,PRIVATE_IP_001,PRIVATE_IP_015,54632,502,query,12,0,0,0,1,0
74,1781647146.1249146,PRIVATE_IP_015,PRIVATE_IP_001,502,54632,response,257,0,0,0,1,0
75,1781647146.1324878,PRIVATE_IP_001,PRIVATE_IP_015,54632,502,query,12,0,0,0,1,0
76,1781647146.1368394,PRIVATE_IP_015,PRIVATE_IP_001,502,54632,response,185,0,0,0,1,0
77,1781647146.139848,PRIVATE_IP_001,PRIVATE_IP_015,54632,502,query,12,0,0,0,1,0
78,1781647146.1445434,PRIVATE_IP_015,PRIVATE_IP_001,502,54632,response,75,0,0,0,1,0
79,1781647146.1851828,PRIVATE_IP_001,PRIVATE_IP_015,54632,502,query,0,0,0,0,1,0
80,1781647146.433599,PRIVATE_IP_001,PRIVATE_IP_019,48364,502,query,12,0,0,0,1,0
81,1781647146.4389148,PRIVATE_IP_019,PRIVATE_IP_001,502,48364,response,209,0,0,0,1,0
82,1781647146.4390092,PRIVATE_IP_001,PRIVATE_IP_019,48364,502,query,0,0,0,0,1,0
83,1781647146.448966,PRIVATE_IP_001,PRIVATE_IP_018,39078,502,query,12,0,0,0,1,0
84,1781647146.4513352,PRIVATE_IP_001,PRIVATE_IP_017,51812,502,query,12,0,0,0,1,0
85,1781647146.4536452,PRIVATE_IP_018,PRIVATE_IP_001,502,39078,response,209,0,0,0,1,0
86,1781647146.4537263,PRIVATE_IP_001,PRIVATE_IP_018,39078,502,query,0,0,0,0,1,0
87,1781647146.4548748,PRIVATE_IP_017,PRIVATE_IP_001,502,51812,response,209,0,0,0,1,0
88,1781647146.454974,PRIVATE_IP_001,PRIVATE_IP_017,51812,502,query,0,0,0,0,1,0
89,1781647146.4616642,PRIVATE_IP_001,PRIVATE_IP_025,52028,502,query,12,0,0,0,1,0
90,1781647146.4638128,PRIVATE_IP_025,PRIVATE_IP_001,502,52028,response,69,0,0,0,1,0
91,1781647146.4638875,PRIVATE_IP_001,PRIVATE_IP_025,52028,502,query,0,0,0,0,1,0
92,1781647146.4643986,PRIVATE_IP_001,PRIVATE_IP_020,45928,502,query,12,0,0,0,1,0
93,1781647146.4701252,PRIVATE_IP_020,PRIVATE_IP_001,502,45928,response,209,0,0,0,1,0
94,1781647146.470184,PRIVATE_IP_001,PRIVATE_IP_020,45928,502,query,0,0,0,0,1,0
95,1781647146.522659,PRIVATE_IP_001,PRIVATE_IP_015,57322,502,query,0,1,0,0,0,0
96,1781647146.52275,PRIVATE_IP_001,PRIVATE_IP_017,42732,502,query,0,1,0,0,0,0
97,1781647146.522804,PRIVATE_IP_001,PRIVATE_IP_018,48334,502,query,0,1,0,0,0,0
98,1781647146.5228522,PRIVATE_IP_001,PRIVATE_IP_020,41780,502,query,0,1,0,0,0,0
99,1781647146.522912,PRIVATE_IP_001,PRIVATE_IP_015,57328,502,query,0,1,0,0,0,0
100,1781647146.5229702,PRIVATE_IP_001,PRIVATE_IP_021,38008,502,query,0,1,0,0,0,0
101,1781647146.525536,PRIVATE_IP_018,PRIVATE_IP_001,502,48334,response,0,1,0,0,1,0
102,1781647146.5255902,PRIVATE_IP_001,PRIVATE_IP_018,48334,502,query,0,0,0,0,1,0
103,1781647146.5258017,PRIVATE_IP_017,PRIVATE_IP_001,502,42732,response,0,1,0,0,1,0
104,1781647146.5258586,PRIVATE_IP_001,PRIVATE_IP_017,42732,502,query,0,0,0,0,1,0
105,1781647146.525941,PRIVATE_IP_015,PRIVATE_IP_001,502,57322,response,0,1,0,0,1,0
106,1781647146.5259805,PRIVATE_IP_001,PRIVATE_IP_015,57322,502,query,0,0,0,0,1,0
107,1781647146.5260763,PRIVATE_IP_021,PRIVATE_IP_001,502,38008,response,0,1,0,0,1,0
108,1781647146.5261173,PRIVATE_IP_001,PRIVATE_IP_021,38008,502,query,0,0,0,0,1,0
109,1781647146.526238,PRIVATE_IP_020,PRIVATE_IP_001,502,41780,response,0,1,0,0,1,0
110,1781647146.5262787,PRIVATE_IP_001,PRIVATE_IP_020,41780,502,query,0,0,0,0,1,0
111,1781647146.5277293,PRIVATE_IP_015,PRIVATE_IP_001,502,57328,response,0,1,0,0,1,0
112,1781647146.5277765,PRIVATE_IP_001,PRIVATE_IP_015,57328,502,query,0,0,0,0,1,0
113,1781647146.5280497,PRIVATE_IP_001,PRIVATE_IP_018,48334,502,query,0,0,1,0,1,0
114,1781647146.5280938,PRIVATE_IP_001,PRIVATE_IP_017,42732,502,query,0,0,1,0,1,0
115,1781647146.5281312,PRIVATE_IP_001,PRIVATE_IP_015,57322,502,query,0,0,1,0,1,0
116,1781647146.5281699,PRIVATE_IP_001,PRIVATE_IP_021,38008,502,query,0,0,1,0,1,0
