run_id,scenario,target,port,iface,duration_seconds,interval_seconds,start_stamp,record_type,service,timestamp,sample,metric,value,unit,ok,status,source_file,notes
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,502,tun0,3600,1,20260625_003608,metric,,,,net_rxpck_s,27.600,packets/s,,,raw/sar_net_dev.log,Promedio sar -n DEV para tun0.
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,502,tun0,3600,1,20260625_003608,metric,,,,net_txpck_s,37.970,packets/s,,,raw/sar_net_dev.log,Promedio sar -n DEV para tun0.
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,502,tun0,3600,1,20260625_003608,metric,,,,net_ifutil_pct,0.000,%,,,raw/sar_net_dev.log,Promedio de utilizacion de interfaz para tun0.
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,502,tun0,3600,1,20260625_003608,metric,,,,interface_tx_packets_delta,0.000,packets,,,raw/ip_s_link_before.log;raw/ip_s_link_after.log,Delta TX en tun0.
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,502,tun0,3600,1,20260625_003608,metric,,,,interface_rx_packets_delta,0.000,packets,,,raw/ip_s_link_before.log;raw/ip_s_link_after.log,Delta RX en tun0.
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,502,tun0,3600,1,20260625_003608,metric,,,,interface_tx_bytes_delta,0.000,bytes,,,raw/ip_s_link_before.log;raw/ip_s_link_after.log,Delta TX en tun0.
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,502,tun0,3600,1,20260625_003608,metric,,,,interface_rx_bytes_delta,0.000,bytes,,,raw/ip_s_link_before.log;raw/ip_s_link_after.log,Delta RX en tun0.
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,502,tun0,3600,1,20260625_003608,latency_sample,ICMP,1782365899.156793,1,icmp_rtt_ms,3.70,ms,1,OK,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,502,tun0,3600,1,20260625_003608,latency_sample,ICMP,1782365899.357821,2,icmp_rtt_ms,3.53,ms,1,OK,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,502,tun0,3600,1,20260625_003608,latency_sample,ICMP,1782365899.558803,3,icmp_rtt_ms,3.51,ms,1,OK,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
