run_id,scenario,target,iface,algorithm,throughput_kBps,source_file,notes
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,aes_128_gcm,6.49e+07,raw/openssl_speed_aes_128_gcm.log,Mayor valor de throughput reportado por openssl speed; unidad original aproximada kB/s.
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,aes_256_gcm,5.62e+07,raw/openssl_speed_aes_256_gcm.log,Mayor valor de throughput reportado por openssl speed; unidad original aproximada kB/s.
MACsec_1h_PRIVATE_IP_022_20260625_003608,MACsec_1h,PRIVATE_IP_022,tun0,chacha20_poly1305,3.89e+07,raw/openssl_speed_chacha20_poly1305.log,Mayor valor de throughput reportado por openssl speed; unidad original aproximada kB/s.
