Linux 6.8.0-55-generic (ubuntu) 	16/06/26 	_x86_64_	(8 CPU)

17:22:49        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
17:23:46        all      4,18      0,00      1,65      0,13      0,00      0,00      0,13      0,00      0,00     93,92
17:23:47        all      4,13      0,00      2,00      0,13      0,00      0,00      0,63      0,00      0,00     93,12
17:23:48        all      6,68      0,00      3,66      0,25      0,00      0,00      0,38      0,00      0,00     89,03
17:23:49        all      4,92      0,00      2,40      0,13      0,00      0,00      0,25      0,00      0,00     92,31
17:23:50        all      4,68      0,00      1,77      0,00      0,00      0,00      0,13      0,00      0,00     93,42
17:23:51        all      9,58      0,00      2,02      0,00      0,00      0,00      0,38      0,00      0,00     88,02
17:23:52        all      4,67      0,00      2,02      0,13      0,00      0,00      0,25      0,00      0,00     92,94
17:23:53        all      6,42      0,00      4,03      0,25      0,00      0,00      0,38      0,00      0,00     88,92
17:23:54        all      4,80      0,00      2,40      0,13      0,00      0,00      0,25      0,00      0,00     92,41
17:23:55        all      4,53      0,00      2,26      0,25      0,00      0,00      0,50      0,00      0,00     92,45
17:23:56        all      4,56      0,00      1,90      0,13      0,00      0,00      0,51      0,00      0,00     92,91
17:23:57        all      4,54      0,00      1,89      0,00      0,00      0,00      0,13      0,00      0,00     93,44
17:23:58        all      5,55      0,00      3,53      0,13      0,00      0,00      0,50      0,00      0,00     90,29
17:23:59        all      4,27      0,00      2,38      0,13      0,00      0,00      0,38      0,00      0,00     92,85
17:24:00        all      4,68      0,00      1,90      0,13      0,00      0,00      0,25      0,00      0,00     93,05
17:24:01        all      4,27      0,00      2,01      0,13      0,00      0,00      0,25      0,00      0,00     93,34
17:24:02        all      6,84      0,00      3,42      0,00      0,00      0,00      0,38      0,00      0,00     89,35
17:24:03        all      4,55      0,00      2,02      0,00      0,00      0,00      0,25      0,00      0,00     93,18
17:24:04        all      9,54      0,00      3,31      0,13      0,00      0,00      0,13      0,00      0,00     86,90
17:24:05        all      5,00      0,00      2,00      0,25      0,00      0,00      0,25      0,00      0,00     92,50
17:24:06        all      4,40      0,00      1,89      0,25      0,00      0,00      0,63      0,00      0,00     92,83
17:24:07        all      4,57      0,00      2,03      0,00      0,00      0,00      0,13      0,00      0,00     93,27
17:24:08        all      4,79      0,00      2,40      0,13      0,00      0,00      0,38      0,00      0,00     92,31
17:24:09        all      6,04      0,00      4,53      0,00      0,00      0,00      0,50      0,00      0,00     88,93
17:24:10        all      6,19      0,00      3,03      0,25      0,00      0,00      0,25      0,00      0,00     90,27
17:24:11        all      5,06      0,00      2,28      0,00      0,00      0,00      0,38      0,00      0,00     92,29
17:24:12        all      4,96      0,00      2,29      0,00      0,00      0,00      0,13      0,00      0,00     92,63
17:24:13        all      4,65      0,00      1,89      0,13      0,00      0,00      0,25      0,00      0,00     93,08
17:24:14        all      7,86      0,00      5,58      0,13      0,00      0,00      0,51      0,00      0,00     85,93
17:24:15        all      9,94      0,00      3,14      0,00      0,00      0,00      0,13      0,00      0,00     86,79
17:24:16        all      5,81      0,00      3,16      0,25      0,00      0,00      0,25      0,00      0,00     90,53
17:24:17        all      4,82      0,00      2,03      0,00      0,00      0,00      0,38      0,00      0,00     92,78
17:24:18        all      5,02      0,00      2,38      0,25      0,00      0,00      0,38      0,00      0,00     91,97
17:24:19        all      5,83      0,00      3,80      0,00      0,00      0,00      0,25      0,00      0,00     90,11
17:24:20        all      4,55      0,00      1,77      0,13      0,00      0,00      0,25      0,00      0,00     93,30
17:24:21        all      4,29      0,00      1,77      0,13      0,00      0,00      0,25      0,00      0,00     93,57
17:24:22        all      4,53      0,00      2,27      0,13      0,00      0,00      0,25      0,00      0,00     92,82
17:24:23        all      4,57      0,00      1,52      0,00      0,00      0,00      0,13      0,00      0,00     93,78
17:24:24        all      4,40      0,00      2,14      0,25      0,00      0,00      0,50      0,00      0,00     92,71
17:24:25        all      6,10      0,00      3,81      0,13      0,00      0,00      0,13      0,00      0,00     89,83
17:24:26        all      6,66      0,00      1,76      0,13      0,00      0,00      0,38      0,00      0,00     91,08
17:24:27        all      6,31      0,00      1,51      0,00      0,00      0,00      0,38      0,00      0,00     91,80
17:24:28        all      3,91      0,00      1,64      0,00      0,00      0,00      0,13      0,00      0,00     94,32
17:24:29        all      5,04      0,00      2,02      0,13      0,00      0,00      0,13      0,00      0,00     92,69
17:24:30        all      6,32      0,00      4,05      0,13      0,00      0,00      0,25      0,00      0,00     89,25
17:24:31        all      5,04      0,00      1,89      0,25      0,00      0,00      0,50      0,00      0,00     92,31
17:24:32        all      6,80      0,00      3,78      0,13      0,00      0,00      0,25      0,00      0,00     89,04
17:24:33        all      5,30      0,00      2,65      0,00      0,00      0,00      0,50      0,00      0,00     91,55
17:24:34        all      4,16      0,00      1,51      0,13      0,00      0,00      0,50      0,00      0,00     93,70
17:24:35        all      5,95      0,00      3,92      0,13      0,00      0,00      0,25      0,00      0,00     89,75
17:24:36        all      5,17      0,00      1,77      0,00      0,00      0,00      0,38      0,00      0,00     92,69
17:24:37        all      4,79      0,00      2,02      0,13      0,00      0,00      0,50      0,00      0,00     92,57
17:24:38        all      8,72      0,00      2,15      0,00      0,00      0,00      0,25      0,00      0,00     88,87
17:24:39        all      4,14      0,00      1,76      0,50      0,00      0,00      0,50      0,00      0,00     93,10
17:24:40        all      7,25      0,00      3,94      0,00      0,00      0,00      0,13      0,00      0,00     88,68
17:24:41        all      5,16      0,00      2,64      0,13      0,00      0,00      0,38      0,00      0,00     91,70
17:24:42        all      4,92      0,00      2,53      0,00      0,00      0,00      0,25      0,00      0,00     92,30
17:24:43        all      4,66      0,00      2,02      0,13      0,00      0,00      0,25      0,00      0,00     92,95
17:24:44        all      4,95      0,00      2,54      0,13      0,00      0,00      0,13      0,00      0,00     92,26
17:24:45        all      4,55      0,00      2,53      0,00      0,00      0,00      0,25      0,00      0,00     92,68
17:24:46        all      5,46      0,00      3,55      0,13      0,00      0,00      0,38      0,00      0,00     90,48
17:24:47        all      4,76      0,00      2,13      0,13      0,00      0,00      0,38      0,00      0,00     92,61
17:24:48        all      9,64      0,00      2,00      0,00      0,00      0,00      0,50      0,00      0,00     87,86
17:24:49        all      4,06      0,00      1,78      0,25      0,00      0,00      0,13      0,00      0,00     93,78
17:24:50        all      4,55      0,00      1,77      0,00      0,00      0,00      0,25      0,00      0,00     93,43
17:24:51        all      6,46      0,00      3,54      0,51      0,00      0,00      0,25      0,00      0,00     89,24
17:24:52        all      4,65      0,00      2,14      0,25      0,00      0,00      0,25      0,00      0,00     92,70
17:24:53        all      3,53      0,00      1,89      0,00      0,00      0,00      0,38      0,00      0,00     94,21
17:24:54        all      5,57      0,00      2,78      0,00      0,00      0,00      0,13      0,00      0,00     91,52
17:24:55        all      4,53      0,00      2,39      0,13      0,00      0,00      0,50      0,00      0,00     92,44
17:24:56        all      5,69      0,00      3,54      0,00      0,00      0,00      0,25      0,00      0,00     90,52
17:24:57        all      5,04      0,00      2,27      0,00      0,00      0,00      0,25      0,00      0,00     92,44
17:24:58        all      4,66      0,00      2,02      0,13      0,00      0,00      0,50      0,00      0,00     92,70
17:24:59        all      8,56      0,00      2,02      0,13      0,00      0,00      0,13      0,00      0,00     89,17
17:25:00        all      4,40      0,00      1,89      0,13      0,00      0,00      0,25      0,00      0,00     93,33
17:25:01        all      5,54      0,00      3,90      0,25      0,00      0,00      0,25      0,00      0,00     90,05
17:25:02        all      6,24      0,00      2,93      0,00      0,00      0,00      0,38      0,00      0,00     90,45
17:25:03        all      5,92      0,00      2,64      0,13      0,00      0,00      0,25      0,00      0,00     91,06
17:25:04        all      4,41      0,00      1,77      0,00      0,00      0,00      0,38      0,00      0,00     93,44
17:25:05        all      4,04      0,00      2,02      0,13      0,00      0,00      0,25      0,00      0,00     93,57
17:25:06        all      4,04      0,00      1,64      0,13      0,00      0,00      0,38      0,00      0,00     93,82
17:25:07        all      5,93      0,00      3,40      0,13      0,00      0,00      0,38      0,00      0,00     90,16
17:25:08        all      4,17      0,00      2,15      0,00      0,00      0,00      0,13      0,00      0,00     93,55
17:25:09        all      8,83      0,00      2,02      0,13      0,00      0,00      0,25      0,00      0,00     88,78
17:25:10        all      5,32      0,00      2,53      0,00      0,00      0,00      0,00      0,00      0,00     92,14
17:25:11        all      4,40      0,00      2,01      0,25      0,00      0,00      0,50      0,00      0,00     92,83
17:25:12        all      5,42      0,00      3,02      0,00      0,00      0,00      0,38      0,00      0,00     91,18
17:25:13        all      4,42      0,00      1,52      0,00      0,00      0,00      0,25      0,00      0,00     93,81
17:25:14        all      4,42      0,00      2,65      0,13      0,00      0,00      0,25      0,00      0,00     92,55
17:25:15        all      5,16      0,00      2,77      0,25      0,00      0,00      0,38      0,00      0,00     91,45
17:25:16        all      4,04      0,00      1,77      0,13      0,00      0,00      0,25      0,00      0,00     93,81
17:25:17        all      5,44      0,00      3,80      0,00      0,00      0,00      0,13      0,00      0,00     90,63
17:25:18        all      5,28      0,00      2,64      0,25      0,00      0,00      0,50      0,00      0,00     91,33
17:25:19        all      8,70      0,00      1,64      0,00      0,00      0,00      0,13      0,00      0,00     89,53
17:25:20        all      4,92      0,00      2,14      0,25      0,00      0,00      0,38      0,00      0,00     92,31
17:25:21        all      4,16      0,00      1,64      0,00      0,00      0,00      0,25      0,00      0,00     93,95
17:25:22        all      5,30      0,00      3,28      0,00      0,00      0,00      0,25      0,00      0,00     91,17
17:25:23        all      4,80      0,00      1,77      0,00      0,00      0,00      0,51      0,00      0,00     92,93
17:25:24        all      4,94      0,00      2,03      0,13      0,00      0,00      0,00      0,00      0,00     92,91
