Linux 6.8.0-55-generic (ubuntu) 	16/06/26 	_x86_64_	(8 CPU)

17:22:49     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:22:56       3    3,03    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   95,96
17:22:56       4    1,02    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   96,94
17:22:56       5    4,08    0,00    3,06    0,00    0,00    0,00    0,00    0,00    0,00   92,86
17:22:56       6    2,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
17:22:56       7    1,03    0,00    2,06    0,00    0,00    0,00    0,00    0,00    0,00   96,91

17:22:56     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:22:57     all    4,29    0,00    2,14    0,25    0,00    0,25    0,00    0,00    0,00   93,06
17:22:57       0    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
17:22:57       1    3,06    0,00    3,06    0,00    0,00    1,02    0,00    0,00    0,00   92,86
17:22:57       2    1,01    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,98
17:22:57       3    0,00    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   98,98
17:22:57       4    1,98    0,00    1,98    0,99    0,00    0,00    0,00    0,00    0,00   95,05
17:22:57       5   22,77    0,00    5,94    0,99    0,00    0,99    0,00    0,00    0,00   69,31
17:22:57       6    4,04    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   93,94
17:22:57       7    1,02    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   97,96

17:22:57     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:22:58     all    4,78    0,00    1,64    0,00    0,00    0,50    0,00    0,00    0,00   93,08
17:22:58       0    0,99    0,00    1,98    0,00    0,00    0,00    0,00    0,00    0,00   97,03
17:22:58       1    3,06    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   94,90
17:22:58       2   10,00    0,00    2,00    0,00    0,00    1,00    0,00    0,00    0,00   87,00
17:22:58       3   17,17    0,00    3,03    0,00    0,00    1,01    0,00    0,00    0,00   78,79
17:22:58       4    1,01    0,00    1,01    0,00    0,00    1,01    0,00    0,00    0,00   96,97
17:22:58       5    3,06    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   94,90
17:22:58       6    1,00    0,00    0,00    0,00    0,00    1,00    0,00    0,00    0,00   98,00
17:22:58       7    2,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00

17:22:58     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:22:59     all    4,56    0,00    2,28    0,25    0,00    0,38    0,00    0,00    0,00   92,52
17:22:59       0    1,03    0,00    2,06    0,00    0,00    0,00    0,00    0,00    0,00   96,91
17:22:59       1    1,01    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   96,97
17:22:59       2    1,03    0,00    1,03    0,00    0,00    0,00    0,00    0,00    0,00   97,94
17:22:59       3   23,23    0,00    3,03    0,00    0,00    1,01    0,00    0,00    0,00   72,73
17:22:59       4    3,06    0,00    1,02    2,04    0,00    0,00    0,00    0,00    0,00   93,88
17:22:59       5    4,00    0,00    6,00    0,00    0,00    1,00    0,00    0,00    0,00   89,00
17:22:59       6    1,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
17:22:59       7    2,02    0,00    1,01    0,00    0,00    1,01    0,00    0,00    0,00   95,96

17:22:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:23:00     all    4,41    0,00    2,39    0,00    0,00    0,38    0,00    0,00    0,00   92,82
17:23:00       0    2,00    0,00    1,00    0,00    0,00    1,00    0,00    0,00    0,00   96,00
17:23:00       1    3,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   95,00
17:23:00       2    1,02    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   96,94
17:23:00       3    1,01    0,00    2,02    0,00    0,00    1,01    0,00    0,00    0,00   95,96
17:23:00       4   22,22    0,00    4,04    0,00    0,00    1,01    0,00    0,00    0,00   72,73
17:23:00       5    2,04    0,00    3,06    0,00    0,00    0,00    0,00    0,00    0,00   94,90
17:23:00       6    1,01    0,00    3,03    0,00    0,00    0,00    0,00    0,00    0,00   95,96
17:23:00       7    2,97    0,00    1,98    0,00    0,00    0,00    0,00    0,00    0,00   95,05

17:23:00     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:23:01     all    7,48    0,00    4,06    0,13    0,00    0,38    0,00    0,00    0,00   87,96
17:23:01       0    4,12    0,00    2,06    0,00    0,00    0,00    0,00    0,00    0,00   93,81
17:23:01       1    5,00    0,00    4,00    0,00    0,00    1,00    0,00    0,00    0,00   90,00
17:23:01       2    6,06    0,00    6,06    0,00    0,00    1,01    0,00    0,00    0,00   86,87
17:23:01       3   14,29    0,00    6,12    0,00    0,00    0,00    0,00    0,00    0,00   79,59
17:23:01       4   17,17    0,00    2,02    1,01    0,00    1,01    0,00    0,00    0,00   78,79
17:23:01       5    6,00    0,00    4,00    0,00    0,00    0,00    0,00    0,00    0,00   90,00
17:23:01       6    4,08    0,00    5,10    0,00    0,00    0,00    0,00    0,00    0,00   90,82
17:23:01       7    3,06    0,00    3,06    0,00    0,00    0,00    0,00    0,00    0,00   93,88

17:23:01     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:23:02     all    7,50    0,00    3,68    0,00    0,00    0,13    0,00    0,00    0,00   88,69
17:23:02       0    4,04    0,00    4,04    0,00    0,00    0,00    0,00    0,00    0,00   91,92
17:23:02       1    9,18    0,00    4,08    0,00    0,00    0,00    0,00    0,00    0,00   86,73
17:23:02       2    5,10    0,00    3,06    0,00    0,00    0,00    0,00    0,00    0,00   91,84
17:23:02       3   22,22    0,00    3,03    0,00    0,00    1,01    0,00    0,00    0,00   73,74
17:23:02       4    3,06    0,00    3,06    0,00    0,00    0,00    0,00    0,00    0,00   93,88
17:23:02       5    3,06    0,00    5,10    0,00    0,00    0,00    0,00    0,00    0,00   91,84
17:23:02       6    4,04    0,00    5,05    0,00    0,00    0,00    0,00    0,00    0,00   90,91
17:23:02       7    9,18    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   88,78

17:23:02     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:23:03     all    4,05    0,00    1,90    0,13    0,00    0,13    0,00    0,00    0,00   93,81
17:23:03       0    0,99    0,00    1,98    0,99    0,00    0,99    0,00    0,00    0,00   95,05
17:23:03       1    1,01    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   96,97
17:23:03       2    0,00    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   98,98
