procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   4132 2206324 402964 20443980    0    0     0   448 4623 3423  7  5 89  0  0  0
 1  0   4132 2203856 402964 20444016    0    0     0   116 3080 2158  5  3 93  0  0  0
 1  0   4132 2207672 402964 20444040    0    0     0   416 3320 2185  5  3 92  0  0  0
 1  0   4132 2206692 402964 20444060    0    0     0    72 3345 2555  5  2 93  0  0  0
 2  0   4132 2208016 402964 20444088    0    0     0   116 3353 2327  5  3 93  0  0  0
 1  0   4132 2202840 402964 20444112    0    0     0   968 4070 2897  5  4 91  0  0  0
 3  0   4132 2202084 402964 20444152    0    0     0   160 3271 2467  4  3 93  0  0  0
 1  0   4132 2202084 402964 20444180    0    0     0   252 3176 2225  5  2 93  0  0  0
 1  0   4132 2200080 402964 20444212    0    0     0   108 3048 2137  4  2 93  0  0  0
 1  0   4132 2186484 402964 20444244    0    0     0    88 7019 7879  7  4 89  0  0  0
 1  0   4132 2184760 402964 20444276    0    0     0   108 3233 2213  4  2 93  0  0  0
 1  0   4132 2188112 402964 20444324    0    0     0  1072 4203 2813 10  4 87  0  0  0
 1  0   4132 2187328 402964 20444364    0    0     0   272 3462 2386  5  2 93  0  0  0
 1  0   4132 2184836 402964 20444396    0    0     0   240 3175 2129  4  2 93  0  0  0
 1  0   4132 2191300 402964 20444416    0    0     0   120 3433 2478  5  3 92  0  0  0
 2  0   4132 2191200 402964 20444440    0    0     0   344 2901 1949  4  2 93  0  0  0
 1  0   4132 2188652 402964 20444452    0    0     0  1016 5055 3588  6  5 88  0  0  0
 1  0   4132 2194368 402964 20444500    0    0     0   264 4606 3876  6  3 91  0  0  0
 1  0   4132 2192488 402964 20444528    0    0     0   112 3596 2531  5  3 92  0  0  0
 1  0   4132 2196988 402964 20444564    0    0     0    80 3352 2244  5  2 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0   4132 2195980 402964 20444584    0    0     0    88 4720 4267  5  3 92  0  0  0
 1  0   4132 2190620 402964 20444604    0    0     0   288 6248 6007  7  5 87  0  0  0
 4  0   4132 2205688 402964 20444652    0    0     0   888 5393 5008 11  4 85  0  0  0
 2  0   4132 2206720 402964 20444672    0    0     0    96 3475 2607  5  3 93  0  0  0
 1  0   4132 2202800 402964 20444696    0    0     0   120 3496 2429  5  3 92  0  0  0
 1  0   4132 2207784 402964 20444708    0    0     0    72 2956 1963  5  2 93  0  0  0
 2  0   4132 2202208 402964 20444748    0    0     0   324 4235 3044  6  4 90  0  0  0
 1  0   4132 2202272 402964 20444776    0    0     0   108 3152 2273  4  2 94  0  0  0
 3  0   4132 2198772 402964 20444784    0    0     0   112 3159 2227  5  2 93  0  0  0
 1  0   4132 2198772 402964 20444812    0    0     0    76 3004 2022  4  2 94  0  0  0
 1  0   4132 2196760 402964 20444840    0    0     0   108 3126 2155  5  2 93  0  0  0
 2  0   4132 2203596 402964 20444860    0    0     0  1124 3279 2151  4  2 93  0  0  0
 1  0   4132 2201348 402964 20444896    0    0     0   204 4570 3271  6  4 89  0  0  0
 1  0   4132 2197568 402964 20444916    0    0     0    72 3447 2541  9  2 89  0  0  0
 1  0   4132 2197316 402964 20444944    0    0     0   120 3091 2336  4  2 94  0  0  0
 1  0   4132 2195552 402964 20444964    0    0     0    80 2903 1995  4  2 94  0  0  0
 1  0   4132 2192812 402964 20444996    0    0     0   252 3346 2481  5  2 93  0  0  0
 1  0   4132 2192516 402964 20445032    0    0     0  1040 4293 2917  6  4 90  0  0  0
 2  0   4132 2192948 402964 20445048    0    0     0   104 3673 2493  6  3 91  0  0  0
 3  0   4132 2191944 402964 20445100    0    0     0   108 6327 7076  7  4 89  0  0  0
 1  0   4132 2190380 402964 20445108    0    0     0   104 4069 3239  5  3 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0   4132 2190012 402964 20445144    0    0     0   400 2981 2071  4  2 94  0  0  0
 1  0   4132 2191300 402964 20445168    0    0     0   204 4245 3060  6  4 89  0  0  0
 2  0   4132 2191300 402964 20445336    0    0     0   100 3300 2207  5  2 93  0  0  0
 1  0   4132 2197296 402964 20445356    0    0     0   108 3311 2332  5  3 93  0  0  0
 1  0   4132 2195028 402964 20445392    0    0     0    80 3445 2173  9  2 89  0  0  0
 3  0   4132 2191024 402964 20445440    0    0     0  1000 3413 2392  5  3 92  0  0  0
 1  0   4132 2193992 402964 20445484    0    0     0   916 5610 4849  7  4 89  0  0  0
 0  0   4132 2197312 402964 20445528    0    0     0   156 3739 2761  5  3 92  0  0  0
 1  0   4132 2198932 402964 20445544    0    0     0    80 2934 1960  5  3 93  0  0  0
 1  0   4132 2198384 402964 20445588    0    0     0   112 3037 2133  4  2 93  0  0  0
 1  0   4132 2201128 402964 20445612    0    0     0   236 4303 3916  5  3 92  0  0  0
 1  0   4132 2198892 402964 20445652    0    0     0   308 3377 2380  4  3 93  0  0  0
 1  0   4132 2201628 402964 20445684    0    0     0  1084 4232 3053  6  4 90  0  0  0
 1  0   4132 2201980 402964 20445700    0    0     0   152 3597 2414  5  3 92  0  0  0
 1  0   4132 2201480 402964 20445740    0    0     0    72 3125 1894  9  2 89  0  0  0
 2  0   4132 2207280 402964 20445752    0    0     0   596 3402 2320  5  2 93  0  0  0
 0  0   4132 2206776 402964 20445796    0    0     0   108 2977 2208  4  2 94  0  0  0
 2  0   4132 2203028 402964 20445820    0    0     0   844 4540 3072  7  4 89  1  0  0
 1  0   4132 2206904 402964 20445836    0    0     0   100 3044 2094  4  2 93  0  0  0
 1  0   4132 2199568 402964 20445876    0    0     0   100 3714 2823  5  3 92  0  0  0
 1  0   4132 2197804 402964 20445904    0    0     0   368 3399 2360  5  3 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   4132 2201368 402964 20445924    0    0     0   144 3381 2235  5  3 93  0  0  0
 0  0   4132 2202588 402964 20445980    0    0     0   140 4061 3112  6  4 91  0  0  0
 0  0   4132 2198584 402964 20446004    0    0     0   108 3779 2758  5  3 92  0  0  0
 2  0   4132 2197896 402964 20446028    0    0     0    80 3125 2000  8  2 90  0  0  0
 0  0   4132 2196916 402964 20446048    0    0     0   220 3200 2422  5  2 93  0  0  0
 0  0   4132 2201972 402964 20446088    0    0     0   100 3088 2158  4  2 94  0  0  0
 1  0   4132 2206108 402964 20446096    0    0     0   900 4767 3428  6  5 89  0  0  0
 0  0   4132 2197420 402964 20446160    0    0     0    84 6025 6223  6  3 90  0  0  0
 1  0   4132 2195328 402964 20446164    0    0     0   128 4491 3851  6  3 92  0  0  0
 1  0   4132 2194440 402964 20446212    0    0     0   256 2767 1679  4  2 94  0  0  0
 0  0   4132 2194440 402964 20446232    0    0     0   280 3059 1827  4  2 93  0  0  0
 1  0   4132 2191420 402964 20446292    0    0     0    96 2947 1824  4  2 94  0  0  0
 0  0   4132 2188184 402964 20446336    0    0     0  1224 4524 2921  6  4 91  0  0  0
 0  0   4132 2190280 402964 20446352    0    0     0    80 3131 2111  5  2 93  0  0  0
 0  0   4132 2193280 402964 20446388    0    0     0   236 3418 2173  9  2 89  0  0  0
 5  0   4132 2184344 402964 20446412    0    0     0    92 4303 3691  5  3 92  0  0  0
 0  0   4132 2182592 402964 20446452    0    0     0   112 3052 2133  5  2 93  0  0  0
 0  0   4132 2183032 402964 20446500    0    0     0   892 4224 2867  6  3 91  0  0  0
 1  0   4132 2182820 402964 20446508    0    0     0   112 3384 2500  5  2 93  0  0  0
 0  0   4132 2180936 402964 20446548    0    0     0   188 4462 4047  5  3 92  0  0  0
 0  0   4132 2177780 402964 20446564    0    0     0   272 3616 2594  5  3 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   4132 2181100 402964 20446648    0    0     0    72 2905 2044  4  2 94  0  0  0
 4  0   4132 2179164 402964 20446660    0    0     0   184 4426 3367  6  5 89  0  0  0
 0  0   4132 2179620 402964 20446732    0    0     0    76 3220 2421  4  3 93  0  0  0
 1  0   4132 2179620 402964 20446740    0    0     0   124 3499 2273  9  2 89  0  0  0
 0  0   4132 2180040 402968 20446772    0    0     0  1064 3334 2456  4  2 93  0  0  0
 0  0   4132 2180040 402968 20446780    0    0     0   112 2986 2161  4  2 94  0  0  0
 0  0   4132 2178780 402968 20446820    0    0     0   884 3989 2651  6  3 91  0  0  0
 1  0   4132 2184100 402968 20446844    0    0     0   104 3368 2328  5  3 93  0  0  0
 0  0   4132 2181860 402968 20446868    0    0     0   224 3240 2334  5  2 93  0  0  0
 1  0   4132 2196268 402968 20446880    0    0     0   556 3594 2467  5  3 92  0  0  0
 0  0   4132 2203324 402968 20446920    0    0     0   100 3267 2355  5  2 93  0  0  0
 1  0   4132 2202352 402968 20446932    0    0     0   164 3347 2420  5  2 93  0  0  0
 1  0   4132 2202332 402968 20446972    0    0     0  1028 4412 3004  6  4 90  0  0  0
 0  0   4132 2207812 402968 20446992    0    0     0   112 3562 2219  9  2 88  0  0  0
 0  0   4132 2203824 402968 20447024    0    0     0   228 3352 2366  5  3 93  0  0  0
 0  1   4132 2199792 402968 20447048    0    0     0   108 3364 2279  5  3 93  0  0  0
 0  0   4132 2185720 402968 20447060    0    0     0    76 5615 6058  6  3 91  0  0  0
 1  0   4132 2187744 402968 20447104    0    0     0   936 6144 5167  7  5 88  0  0  0
 1  0   4132 2185980 402968 20447120    0    0     0    80 3281 2368  5  2 93  0  0  0
 0  0   4132 2185980 402968 20447144    0    0     0   340 3003 2085  4  2 94  0  0  0
 0  0   4132 2193400 402968 20447160    0    0     0    80 3122 2089  5  2 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   4132 2193760 402968 20447216    0    0     0   120 3062 2183  5  2 93  0  0  0
 0  0   4132 2188540 402968 20447236    0    0     0   140 4205 2975  6  4 90  0  0  0
 0  0   4132 2186840 402968 20447404    0    0     0   144 3169 2163  5  3 93  0  0  0
 1  0   4132 2184288 402968 20447440    0    0     0   224 4970 4114 10  3 87  0  0  0
 0  0   4132 2195212 402968 20447472    0    0     0   112 3423 2503  4  2 93  0  0  0
 0  0   4132 2194820 402968 20447496    0    0     0    76 2978 2031  4  2 94  0  0  0
 1  0   4132 2191492 402968 20447528    0    0     0   920 4134 2781  6  4 90  0  0  0
 2  0   4132 2197100 402968 20447568    0    0     0    76 3945 3129  5  3 93  0  0  0
 0  0   4132 2195116 402968 20447580    0    0     0   428 4144 3435  5  3 92  0  0  0
 0  0   4132 2192652 402968 20447632    0    0     0    72 2984 2062  5  2 93  0  0  0
 0  0   4132 2195696 402968 20447644    0    0     0   116 3152 2229  4  3 93  0  0  0
 0  0   4132 2195448 402968 20447688    0    0     0   124 2987 2111  4  2 93  0  0  0
 0  0   4132 2202212 402968 20447700    0    0     0   972 4041 2679  5  3 91  0  0  0
 5  0   4132 2207104 402968 20447760    0    0     0   252 3541 2360  8  3 90  0  0  0
 0  0   4132 2203356 402980 20447768    0    0     0   920 3335 2311  6  3 91  0  0  0
 0  0   4132 2206564 402980 20447832    0    0     0    92 3234 2051  4  3 93  0  0  0
 0  0   4132 2202312 402980 20447844    0    0     0   104 3476 2324  5  3 93  0  0  0
 1  0   4132 2197316 402980 20447904    0    0     0   876 4335 3099  6  4 89  0  0  0
 0  0   4132 2195048 402980 20447928    0    0     0   320 3407 2396  4  2 93  0  0  0
 3  0   4132 2200896 402980 20447960    0    0     0   232 3368 2532  4  2 93  0  0  0
 0  0   4132 2199664 402980 20447976    0    0     0   116 3388 2531  5  2 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   4132 2201004 402980 20447992    0    0     0    80 2964 2070  4  2 93  0  0  0
 0  0   4132 2202656 402980 20448020    0    0     0   180 4395 3193  6  4 89  0  0  0
 0  0   4132 2200484 402980 20448044    0    0     0   264 3256 2226  5  3 92  0  0  0
 1  0   4132 2207352 402980 20448072    0    0     0   128 3153 2203  5  2 93  0  0  0
 4  0   4132 2110904 402980 20448100    0    0     0    92 7930 8445 22 18 60  0  0  0
 4  0   4132 1983152 402980 20448140    0    0     4   380 8350 6270 27 31 42  0  0  0
 4  0   4132 1878492 402980 20448172    0    0     0   896 7864 5013 27 31 42  0  0  0
 6  0   4132 1557600 402980 20465424    0    0     8   240 7335 4272 30 28 42  0  0  0
 9  0   4132 1024796 402980 20519296    0    0     4   252 9953 4010 84 15  1  0  0  0
12  0   4132 1020688 402980 20519384    0    0     0   108 10471 4837 92  8  0  0  0  0
 9  0   4132 1041836 402980 20519440    0    0     0   104 9961 3764 86 13  1  0  0  0
 9  0   4132 1042284 402980 20519464    0    0     0  1184 10249 3398 79 20  1  0  0  0
 6  0   4132 1280620 402980 20503096    0    0     4  1344 10837 5432 74 20  7  0  0  0
 8  0   4132 1776396 402980 20469768    0    0     4  1056 6021 2563 29  9 62  0  0  0
 1  0   4132 1859820 402980 20469612    0    0     0    92 4170 2158 18  5 77  0  0  0
 3  0   4132 1861044 402980 20469440    0    0     0   608 3887 2001 15  5 81  0  0  0
 1  0   4132 1860392 402980 20469468    0    0     0    72 3579 1786 14  5 81  0  0  0
 1  0   4132 1864960 402980 20469508    0    0     0   996 6601 5297 16  8 75  0  0  0
 1  0   4132 1863100 402980 20469544    0    0     0   408 3883 1970 15  5 80  0  0  0
 0  0   4132 2097168 402980 20448768    0    0     4   428 3420 1986  7  3 90  0  0  0
 0  0   4132 2095552 402980 20448816    0    0     0    80 2738 1585  4  2 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   4132 2100700 402980 20448860    0    0     0   384 3307 2093  5  3 91  0  0  0
 0  0   4132 2183536 402980 20448700    0    0     0   172 4296 3224  6  4 90  0  0  0
 0  0   4132 2184192 402984 20448752    0    0     0   892 3310 2400  5  3 92  0  0  0
 0  0   4132 2191144 402984 20448772    0    0     0   836 3244 2317  4  2 94  0  0  0
 5  0   4132 2190220 402984 20448792    0    0     0 11852 3756 2465  8  2 89  1  0  0
 0  0   4132 2188436 402984 20448828    0    0     0    72 2960 2075  5  2 93  0  0  0
 0  0   4132 2184672 402984 20448884    0    0     0  1188 4592 3073  6  4 90  0  0  0
 2  0   4132 2185424 402984 20448904    0    0     0    80 3256 2427  5  2 93  0  0  0
 0  0   4132 2184680 402984 20448936    0    0     0   116 3420 2557  4  2 93  0  0  0
