run_id,scenario,target,iface,section,item,metric,value,unit,status,interpretation,recommendation
baseline_PRIVATE_IP_022_20260529_154853,baseline,PRIVATE_IP_022,tun0,Conectividad,Perdida ICMP,icmp_packet_loss,0,%,OK,Perdida ICMP observada: 0 %.,Mantener como referencia baseline.
baseline_PRIVATE_IP_022_20260529_154853,baseline,PRIVATE_IP_022,tun0,Latencia,RTT ICMP promedio,icmp_rtt_avg,2.804,ms,OK,RTT ICMP promedio: 2.804 ms.,Usar como referencia directa para comparar baseline vs VPN.
baseline_PRIVATE_IP_022_20260529_154853,baseline,PRIVATE_IP_022,tun0,Latencia,TCP connect promedio,tcp_connect_avg,3.770248,ms,OK,TCP connect promedio: 3.770248 ms.,Usar como referencia directa para comparar baseline vs VPN.
baseline_PRIVATE_IP_022_20260529_154853,baseline,PRIVATE_IP_022,tun0,Latencia,TCP connect p95,tcp_connect_p95,4.274947,ms,OK,TCP connect p95: 4.274947 ms.,Usar como referencia directa para comparar baseline vs VPN.
baseline_PRIVATE_IP_022_20260529_154853,baseline,PRIVATE_IP_022,tun0,Latencia,TCP connect p99,tcp_connect_p99,4.843308,ms,OK,TCP connect p99: 4.843308 ms.,Usar como referencia directa para comparar baseline vs VPN.
baseline_PRIVATE_IP_022_20260529_154853,baseline,PRIVATE_IP_022,tun0,Servicio TCP,Tasa de exito TCP connect,tcp_connect_success_rate,100.000000,%,OK,Tasa de exito de establecimiento TCP: 100.000000 %.,El puerto TCP fue alcanzable durante todas las muestras.
baseline_PRIVATE_IP_022_20260529_154853,baseline,PRIVATE_IP_022,tun0,MTU,PMTU aproximada,pmtu_ipv4_approx,1500,bytes,OK,PMTU IPv4 aproximada: 1500 bytes.,PMTU cercana a Ethernet estandar.
baseline_PRIVATE_IP_022_20260529_154853,baseline,PRIVATE_IP_022,tun0,Captura,Entropia de payload,payload_entropy,1.838334,bits_per_byte,INFO,Entropia estimada: 1.838334 bits_per_byte.,"Entropia baja, compatible con trafico estructurado o texto claro."
baseline_PRIVATE_IP_022_20260529_154853,baseline,PRIVATE_IP_022,tun0,Recursos,CPU ocupada,cpu_avg_busy_pct,5.100,%,OK,CPU ocupada promedio: 5.100 %.,No se aprecia saturacion general de CPU.
baseline_PRIVATE_IP_022_20260529_154853,baseline,PRIVATE_IP_022,tun0,Recursos,Proceso con mayor CPU,top_process_cpu,11.522,%,INFO,El proceso con mayor consumo agregado fue node-red con 11.522 %CPU promedio.,Comparar el mismo top de procesos entre baseline y VPN.
baseline_PRIVATE_IP_022_20260529_154853,baseline,PRIVATE_IP_022,tun0,Trafico,Conteo por servicio,packet_service_counts,,packets,INFO,Se genero conteo de paquetes por servicio usando metodo: estimated_from_logs.,"Si existe pcap, el conteo es real; si no, se estima desde logs de las pruebas."
baseline_PRIVATE_IP_022_20260529_154853,baseline,PRIVATE_IP_022,tun0,Interfaz,Delta TX/RX,interface_delta,TX 0 / RX 0,packets,INFO,Durante la corrida se observo delta de 0 paquetes TX y 0 paquetes RX en tun0.,Usar para verificar si la prueba genero trafico real en la interfaz seleccionada.
