sample,epoch,target,port,ok,tcp_connect_ms,error
98,1780088383.8874874,PRIVATE_IP_022,502,1,3.333114,
99,1780088384.0915635,PRIVATE_IP_022,502,1,3.929706,
100,1780088384.2945063,PRIVATE_IP_022,502,1,2.770594,
101,1780088384.4988601,PRIVATE_IP_022,502,1,4.049388,
102,1780088384.7027638,PRIVATE_IP_022,502,1,3.676615,
103,1780088384.9069178,PRIVATE_IP_022,502,1,3.902404,
104,1780088385.110807,PRIVATE_IP_022,502,1,3.681903,
105,1780088385.3144772,PRIVATE_IP_022,502,1,3.357970,
106,1780088385.518881,PRIVATE_IP_022,502,1,4.196862,
107,1780088385.7227442,PRIVATE_IP_022,502,1,3.695476,
108,1780088385.9269688,PRIVATE_IP_022,502,1,4.047667,
109,1780088386.1304405,PRIVATE_IP_022,502,1,3.364920,
110,1780088386.3347092,PRIVATE_IP_022,502,1,4.017302,
111,1780088386.5386202,PRIVATE_IP_022,502,1,3.717348,
112,1780088386.742856,PRIVATE_IP_022,502,1,4.056744,
113,1780088386.9467368,PRIVATE_IP_022,502,1,3.650015,
114,1780088387.1492233,PRIVATE_IP_022,502,1,2.363402,
115,1780088387.3523457,PRIVATE_IP_022,502,1,3.026467,
116,1780088387.5556073,PRIVATE_IP_022,502,1,3.068522,
117,1780088387.7598205,PRIVATE_IP_022,502,1,4.056969,
118,1780088387.963783,PRIVATE_IP_022,502,1,3.769578,
119,1780088388.1677701,PRIVATE_IP_022,502,1,3.727069,
120,1780088388.3721511,PRIVATE_IP_022,502,1,4.212700,
121,1780088388.5755959,PRIVATE_IP_022,502,1,3.231893,
122,1780088388.7799828,PRIVATE_IP_022,502,1,4.122628,
123,1780088388.9837265,PRIVATE_IP_022,502,1,3.582028,
124,1780088389.1877537,PRIVATE_IP_022,502,1,3.751885,
125,1780088389.3924181,PRIVATE_IP_022,502,1,3.167973,
126,1780088389.5970368,PRIVATE_IP_022,502,1,4.358750,
127,1780088389.800795,PRIVATE_IP_022,502,1,3.550444,
128,1780088390.0047987,PRIVATE_IP_022,502,1,3.807506,
129,1780088390.2087414,PRIVATE_IP_022,502,1,3.641155,
130,1780088390.4126105,PRIVATE_IP_022,502,1,3.609489,
131,1780088390.6169827,PRIVATE_IP_022,502,1,4.080782,
132,1780088390.8207376,PRIVATE_IP_022,502,1,3.506609,
133,1780088391.0247753,PRIVATE_IP_022,502,1,3.790156,
134,1780088391.228717,PRIVATE_IP_022,502,1,3.794553,
135,1780088391.4326777,PRIVATE_IP_022,502,1,3.784220,
136,1780088391.6368637,PRIVATE_IP_022,502,1,3.918391,
137,1780088391.8408518,PRIVATE_IP_022,502,1,3.742639,
138,1780088392.0443776,PRIVATE_IP_022,502,1,3.359555,
139,1780088392.2472677,PRIVATE_IP_022,502,1,2.784380,
140,1780088392.4519033,PRIVATE_IP_022,502,1,4.438577,
