source_path_redacted,public_path,action,reason,source_size_bytes
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/csv/tcp_connect_stats.csv,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/csv/tcp_connect_stats.csv,sanitized_text,text identifiers and sensitive values redacted,268
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/csv/tcp_health_summary.csv,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/csv/tcp_health_summary.csv,sanitized_text,text identifiers and sensitive values redacted,1304
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/figures/ram_components_timeseries.png,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/figures/ram_components_timeseries.png,sanitized_image,image title/header sanitized,153312
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/figures/ram_process_cumulative.png,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/figures/ram_process_cumulative.png,sanitized_image,image title/header sanitized,287117
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/figures/ram_swap_io_timeseries.png,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/figures/ram_swap_io_timeseries.png,sanitized_image,image title/header sanitized,111764
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/figures/ram_total_scenario_timeseries.png,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/figures/ram_total_scenario_timeseries.png,sanitized_image,image title/header sanitized,154018
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/figures/ram_vmstat_timeseries.png,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/figures/ram_vmstat_timeseries.png,sanitized_image,image title/header sanitized,153831
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/pcap/baseline_PRIVATE_IP_021_502_tun0.pcapng,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/pcap/baseline_PRIVATE_IP_021_502_tun0.pcapng.REDACTED.txt,placeholder,"raw capture, binary, archive, credential-like, or payload artifact redacted",3702540
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/capinfos.log,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/capinfos.log,sanitized_text,text identifiers and sensitive values redacted,1654
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/entropy_extract.log,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/raw/entropy_extract.log,sanitized_text,text identifiers and sensitive values redacted,0
