procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   2328 1392592 402112 20412312    0    0     0  1136 3653 2820  3  4 93  0  0  0
 0  0   2328 1390832 402112 20412336    0    0     0   120 2865 2280  3  2 95  0  0  0
 0  0   2328 1394792 402112 20412360    0    0     0   556 2379 2075  2  2 96  0  0  0
 0  0   2328 1391044 402112 20412380    0    0     0   352 2314 1851  2  2 96  0  0  0
 0  0   2328 1384748 402112 20412412    0    0     0   348 2223 1847  2  1 97  0  0  0
 0  0   2328 1381148 402112 20412436    0    0     0   176 3485 2932  4  4 92  0  0  0
 0  0   2328 1385324 402112 20412460    0    0     0  1332 2591 1908  2  2 96  0  0  0
 0  0   2328 1383884 402112 20412476    0    0     0   104 2643 2215  2  3 95  0  0  0
 0  0   2328 1378592 402112 20412500    0    0     0   376 2385 1912  2  2 96  0  0  0
 0  0   2328 1380800 402112 20412520    0    0     0   224 2275 1871  2  2 96  0  0  0
 0  0   2328 1379792 402112 20412548    0    0     0   344 2258 1882  2  1 97  0  0  0
 1  0   2328 1374036 402112 20412700    0    0     0   916 3888 3035  7  4 89  0  0  0
 1  0   2328 1382908 402112 20412728    0    0     0    92 2345 1892  2  2 96  0  0  0
 1  0   2328 1380672 402112 20412756    0    0     0   360 2447 2037  2  2 95  0  0  0
 1  0   2328 1387436 402112 20412772    0    0     0   300 4362 4875  3  3 94  0  0  0
 2  0   2328 1386752 402112 20412784    0    0     0    88 2403 1968  3  2 95  0  0  0
 1  0   2328 1385608 402112 20412816    0    0     0   644 3698 2903  4  4 92  0  0  0
 1  0   2328 1384392 402112 20412856    0    0     0   108 4660 4693  4  3 93  0  0  0
 1  0   2328 1386724 402112 20412884    0    0     0    88 2293 1880  2  2 96  0  0  0
 1  0   2328 1380744 402112 20412904    0    0     0   112 4010 4158  3  3 94  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   2328 1385196 402112 20412940    0    0     0    92 2604 2024  2  2 95  0  0  0
 1  0   2328 1382120 402112 20412964    0    0     0  1132 3560 2690  4  3 93  0  0  0
 1  0   2328 1378088 402112 20412988    0    0     0    96 2379 1971  2  2 96  0  0  0
 1  0   2328 1377332 402112 20413036    0    0     0   104 2516 2164  2  2 96  0  0  0
 1  1   2328 1371588 402112 20413052    0    0     0    44 5049 6142  4  3 90  3  0  0
 1  0   2328 1382880 402112 20413096    0    0     0   132 2355 1891  2  2 96  1  0  0
 1  0   2328 1383000 402112 20413112    0    0     0   232 3403 2783  3  3 93  0  0  0
 1  0   2328 1382496 402112 20413148    0    0     0  1068 2852 2248  2  2 96  0  0  0
 1  0   2328 1381992 402112 20413168    0    0     0    92 2264 1910  2  1 97  0  0  0
 1  0   2328 1388276 402112 20413188    0    0     0   100 2469 2040  3  2 96  0  0  0
 1  0   2328 1391560 402112 20413216    0    0     0    88 2368 1932  2  2 96  0  0  0
 2  0   2328 1390832 402112 20413240    0    0     0   256 2402 2025  2  2 97  0  0  0
 1  0   2328 1389828 402112 20413272    0    0     0   232 3220 2852  3  3 94  0  0  0
 1  0   2328 1386328 402112 20413292    0    0     0   560 2797 2285  3  3 95  0  0  0
 2  0   2328 1384312 402112 20413324    0    0     0    88 2157 1804  2  1 97  0  0  0
 1  0   2328 1381540 402112 20413344    0    0     0    96 2556 2122  3  2 95  0  0  0
 1  0   2328 1380028 402112 20413368    0    0     0   208 2526 1898  2  2 96  0  0  0
 1  0   2328 1376492 402112 20413396    0    0     0  1160 4030 2933  4  3 93  0  0  0
 1  0   2328 1381528 402112 20413432    0    0     0    84 2450 1901  2  2 96  0  0  0
 1  0   2328 1380776 402112 20413448    0    0     0   104 2518 2202  2  2 96  0  0  0
 1  0   2328 1391600 402112 20413472    0    0     0    80 6466 2129  6  2 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   2328 1388592 402112 20413484    0    0     0   208 2393 1888  2  2 96  0  0  0
 1  0   2328 1391664 402112 20413516    0    0     0   220 3627 2858  3  4 93  0  0  0
 1  0   2328 1389172 402116 20413536    0    0     0   384 2713 2120  2  2 95  0  0  0
 3  0   2328 1383416 402116 20413568    0    0     0    84 3476 3768  2  2 95  0  0  0
 1  0   2328 1381676 402116 20413596    0    0     0   104 3350 3176  3  2 95  0  0  0
 1  0   2328 1386364 402116 20413624    0    0     0   196 2317 1952  1  1 97  0  0  0
