Linux 6.8.0-55-generic (ubuntu) 	29/05/26 	_x86_64_	(8 CPU)

15:48:54     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:49:01       3    2,00    0,00    3,00    0,00    0,00    0,00    0,00    0,00    0,00   95,00
15:49:01       4    2,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   96,00
15:49:01       5    2,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   96,00
15:49:01       6    1,02    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   97,96
15:49:01       7    2,00    0,00    3,00    0,00    0,00    0,00    0,00    0,00    0,00   95,00

15:49:01     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:49:02     all    1,64    0,00    1,39    0,13    0,00    0,25    0,00    0,00    0,00   96,60
15:49:02       0    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
15:49:02       1    1,02    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   96,94
15:49:02       2    6,00    0,00    1,00    0,00    0,00    1,00    0,00    0,00    0,00   92,00
15:49:02       3    1,01    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   96,97
15:49:02       4    1,00    0,00    2,00    1,00    0,00    1,00    0,00    0,00    0,00   95,00
15:49:02       5    2,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
15:49:02       6    1,02    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   96,94
15:49:02       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

15:49:02     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:49:03     all    1,89    0,00    1,64    0,00    0,00    0,25    0,00    0,00    0,00   96,22
15:49:03       0    2,02    0,00    2,02    0,00    0,00    1,01    0,00    0,00    0,00   94,95
15:49:03       1    1,01    0,00    1,01    0,00    0,00    1,01    0,00    0,00    0,00   96,97
15:49:03       2    5,00    0,00    3,00    0,00    0,00    0,00    0,00    0,00    0,00   92,00
15:49:03       3    2,02    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   95,96
15:49:03       4    1,01    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,98
15:49:03       5    1,02    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   97,96
15:49:03       6    2,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
15:49:03       7    1,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00

15:49:03     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:49:04     all    1,89    0,00    1,51    0,13    0,00    0,00    0,00    0,00    0,00   96,47
15:49:04       0    2,02    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   96,97
