frame_index,time_s,src_ip,dst_ip,src_port,dst_port,direction,payload_bytes,syn,fin,rst,probable_retransmission,flags
69,0.15894818305969238,PRIVATE_IP_001,PRIVATE_IP_021,43314,502,Query,12,0,0,0,0,PA
70,0.15987300872802734,PRIVATE_IP_015,PRIVATE_IP_001,502,51468,Response,0,0,1,0,0,FA
71,0.15991687774658203,PRIVATE_IP_001,PRIVATE_IP_015,51468,502,Query,0,0,0,0,0,A
72,0.1620633602142334,PRIVATE_IP_018,PRIVATE_IP_001,502,38980,Response,11,0,0,0,0,PA
73,0.1621263027191162,PRIVATE_IP_001,PRIVATE_IP_018,38980,502,Query,0,0,0,0,0,A
74,0.16245555877685547,PRIVATE_IP_019,PRIVATE_IP_001,502,59746,Response,161,0,0,0,0,PA
75,0.16250371932983398,PRIVATE_IP_001,PRIVATE_IP_019,59746,502,Query,0,0,0,0,0,A
76,0.16280198097229004,PRIVATE_IP_017,PRIVATE_IP_001,502,57952,Response,0,0,0,0,0,A
77,0.16343283653259277,PRIVATE_IP_016,PRIVATE_IP_001,502,34020,Response,0,0,0,0,0,A
78,0.16377949714660645,PRIVATE_IP_017,PRIVATE_IP_001,502,57952,Response,11,0,0,0,0,PA
79,0.16382408142089844,PRIVATE_IP_001,PRIVATE_IP_017,57952,502,Query,0,0,0,0,0,A
80,0.16547632217407227,PRIVATE_IP_001,PRIVATE_IP_012,58538,502,Query,12,0,0,0,0,PA
81,0.16551756858825684,PRIVATE_IP_021,PRIVATE_IP_001,502,43314,Response,159,0,0,0,0,PA
82,0.16556525230407715,PRIVATE_IP_001,PRIVATE_IP_021,43314,502,Query,0,0,0,0,0,A
83,0.16699600219726562,PRIVATE_IP_012,PRIVATE_IP_001,502,58538,Response,0,0,0,0,0,A
84,0.16770720481872559,PRIVATE_IP_001,PRIVATE_IP_025,36268,502,Query,12,0,0,0,0,PA
85,0.1677861213684082,PRIVATE_IP_001,PRIVATE_IP_015,59014,502,Query,12,0,0,0,0,PA
86,0.16993379592895508,PRIVATE_IP_025,PRIVATE_IP_001,502,36268,Response,69,0,0,0,0,PA
87,0.17000317573547363,PRIVATE_IP_001,PRIVATE_IP_025,36268,502,Query,0,0,0,0,0,A
88,0.1773087978363037,PRIVATE_IP_016,PRIVATE_IP_001,502,34020,Response,9,0,0,0,0,PA
89,0.17740583419799805,PRIVATE_IP_001,PRIVATE_IP_016,34020,502,Query,0,0,0,0,0,A
90,0.17950701713562012,PRIVATE_IP_015,PRIVATE_IP_001,502,59014,Response,53,0,0,0,0,PA
