run_id,scenario,target,iface,service,n,min_ms,q1_ms,median_ms,mean_ms,q3_ms,p95_ms,p99_ms,max_ms,std_ms,ci95_low_ms,ci95_high_ms,source_file
baseline_PRIVATE_IP_021_20260616_155932,baseline,PRIVATE_IP_021,tun0,ICMP,1500,1.740,2.510,2.670,2.826,2.960,3.700,4.740,11.900,0.597,2.795,2.856,raw/ping_PRIVATE_IP_021.log
baseline_PRIVATE_IP_021_20260616_155932,baseline,PRIVATE_IP_021,tun0,TCP_CONNECT,300,2.472,3.506,3.748,3.796,4.033,4.564,6.232,7.274,0.579,3.730,3.861,csv/tcp_connect_PRIVATE_IP_021_502.csv
