Linux 6.8.0-55-generic (ubuntu) 	25/06/26 	_x86_64_	(8 CPU)

00:36:09        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
00:37:06        all      4,41      3,90      2,27      0,13      0,00      0,00      0,25      0,00      0,00     89,04
00:37:07        all      6,19      0,00      3,41      0,51      0,00      0,00      0,25      0,00      0,00     89,63
00:37:08        all      4,93      0,00      2,15      0,00      0,00      0,00      0,25      0,00      0,00     92,67
00:37:09        all      6,16      0,00      1,76      0,75      0,00      0,00      0,25      0,00      0,00     91,07
00:37:10        all      7,28      0,00      2,13      0,63      0,00      0,00      0,38      0,00      0,00     89,59
00:37:11        all      4,17      0,00      1,64      0,00      0,00      0,00      0,13      0,00      0,00     94,06
00:37:12        all      6,19      0,00      4,42      0,25      0,00      0,00      0,13      0,00      0,00     89,00
00:37:13        all      5,30      0,00      2,65      0,38      0,00      0,00      0,38      0,00      0,00     91,30
00:37:14        all      4,54      0,00      1,77      0,00      0,00      0,00      0,25      0,00      0,00     93,44
00:37:15        all      4,89      0,00      2,13      0,25      0,00      0,00      0,50      0,00      0,00     92,22
00:37:16        all      4,80      0,00      1,52      0,25      0,00      0,00      0,13      0,00      0,00     93,30
00:37:17        all      6,09      0,00      3,55      0,25      0,00      0,00      0,13      0,00      0,00     89,97
00:37:18        all      4,53      0,00      2,02      0,13      0,00      0,00      0,50      0,00      0,00     92,82
00:37:19        all      4,29      0,00      2,02      0,25      0,00      0,00      0,38      0,00      0,00     93,06
00:37:20        all      9,39      0,00      2,38      0,25      0,00      0,00      0,25      0,00      0,00     87,73
00:37:21        all      4,31      0,00      1,90      0,00      0,00      0,00      0,25      0,00      0,00     93,54
00:37:22        all      6,06      0,00      3,91      0,25      0,00      0,00      0,25      0,00      0,00     89,52
00:37:23        all      4,94      0,00      2,41      0,00      0,00      0,00      0,38      0,00      0,00     92,28
00:37:24        all      4,79      0,00      2,14      0,25      0,00      0,00      0,25      0,00      0,00     92,57
00:37:25        all      4,79      0,00      2,14      0,13      0,00      0,00      0,38      0,00      0,00     92,57
00:37:26        all      4,92      0,00      1,89      0,13      0,00      0,00      0,25      0,00      0,00     92,80
00:37:27        all      4,90      0,00      2,39      0,00      0,00      0,00      0,38      0,00      0,00     92,34
00:37:28        all      6,08      0,00      3,68      0,13      0,00      0,00      0,25      0,00      0,00     89,86
00:37:29        all      5,31      0,00      2,40      0,13      0,00      0,00      0,51      0,00      0,00     91,66
00:37:30        all      5,16      0,00      1,51      0,00      0,00      0,00      0,38      0,00      0,00     92,95
00:37:31        all      7,10      0,00      3,17      0,00      0,00      0,00      0,38      0,00      0,00     89,35
00:37:32        all      7,60      0,00      1,90      0,13      0,00      0,00      0,25      0,00      0,00     90,11
00:37:33        all      8,47      0,00      3,79      0,13      0,00      0,00      0,13      0,00      0,00     87,48
00:37:34        all      5,04      0,00      2,39      0,13      0,00      0,00      0,25      0,00      0,00     92,19
00:37:35        all      4,16      0,00      1,39      0,00      0,00      0,00      0,50      0,00      0,00     93,95
00:37:36        all      5,28      0,00      2,01      0,25      0,00      0,00      0,38      0,00      0,00     92,08
00:37:37        all      4,17      0,00      1,89      0,13      0,00      0,00      0,25      0,00      0,00     93,56
00:37:38        all      6,17      0,00      3,53      0,25      0,00      0,00      0,38      0,00      0,00     89,67
00:37:39        all      4,67      0,00      1,89      0,00      0,00      0,00      0,13      0,00      0,00     93,32
00:37:40        all      5,20      0,00      2,54      0,00      0,00      0,00      0,13      0,00      0,00     92,13
00:37:41        all      4,68      0,00      1,52      0,13      0,00      0,00      0,38      0,00      0,00     93,30
00:37:42        all      5,04      0,00      2,39      0,38      0,00      0,00      0,25      0,00      0,00     91,94
00:37:43        all      7,20      0,00      4,55      0,00      0,00      0,00      0,25      0,00      0,00     88,01
00:37:44        all      4,42      0,00      2,02      0,00      0,00      0,00      0,38      0,00      0,00     93,18
00:37:45        all      9,24      0,00      2,03      0,00      0,00      0,00      0,00      0,00      0,00     88,73
00:37:46        all      4,28      0,00      2,02      0,13      0,00      0,00      0,50      0,00      0,00     93,07
00:37:47        all      4,92      0,00      2,27      0,00      0,00      0,00      0,76      0,00      0,00     92,05
00:37:48        all      4,30      0,00      2,02      0,25      0,00      0,00      0,25      0,00      0,00     93,17
00:37:49        all      5,56      0,00      3,66      0,00      0,00      0,00      0,25      0,00      0,00     90,53
00:37:50        all      5,28      0,00      2,51      0,25      0,00      0,00      0,38      0,00      0,00     91,58
00:37:51        all      4,65      0,00      2,01      0,13      0,00      0,00      0,50      0,00      0,00     92,70
00:37:52        all      4,81      0,00      2,15      0,13      0,00      0,00      0,25      0,00      0,00     92,66
00:37:53        all      5,04      0,00      2,52      0,00      0,00      0,00      0,25      0,00      0,00     92,19
00:37:54        all      6,24      0,00      4,33      0,00      0,00      0,00      0,51      0,00      0,00     88,92
00:37:55        all      4,52      0,00      2,26      0,13      0,00      0,00      0,25      0,00      0,00     92,85
00:37:56        all      9,22      0,00      1,89      0,00      0,00      0,00      0,38      0,00      0,00     88,51
00:37:57        all      4,29      0,00      2,15      0,25      0,00      0,00      0,25      0,00      0,00     93,06
00:37:58        all      4,64      0,00      2,38      0,13      0,00      0,00      0,38      0,00      0,00     92,47
00:37:59        all      7,34      0,00      3,67      0,25      0,00      0,00      0,63      0,00      0,00     88,10
00:38:00        all      5,31      0,00      2,15      0,00      0,00      0,00      0,38      0,00      0,00     92,16
00:38:01        all      6,16      0,00      3,40      0,13      0,00      0,00      0,63      0,00      0,00     89,69
00:38:02        all      4,56      0,00      1,77      0,00      0,00      0,00      0,13      0,00      0,00     93,54
00:38:03        all      4,68      0,00      2,02      0,13      0,00      0,00      0,13      0,00      0,00     93,05
00:38:04        all      6,05      0,00      4,03      0,13      0,00      0,00      0,38      0,00      0,00     89,42
00:38:05        all      4,79      0,00      2,27      0,13      0,00      0,00      0,25      0,00      0,00     92,57
00:38:06        all      4,94      0,00      2,03      0,00      0,00      0,00      0,25      0,00      0,00     92,78
00:38:07        all      5,32      0,00      2,28      0,00      0,00      0,00      0,25      0,00      0,00     92,14
00:38:08        all     10,50      0,00      2,88      0,25      0,00      0,00      0,38      0,00      0,00     86,00
00:38:09        all      4,19      0,00      2,03      0,13      0,00      0,00      0,13      0,00      0,00     93,52
00:38:10        all      6,08      0,00      3,67      0,13      0,00      0,00      0,38      0,00      0,00     89,75
00:38:11        all      4,64      0,00      2,01      0,25      0,00      0,00      0,25      0,00      0,00     92,86
00:38:12        all      4,05      0,00      1,77      0,13      0,00      0,00      0,38      0,00      0,00     93,68
00:38:13        all      5,69      0,00      2,78      0,00      0,00      0,00      0,51      0,00      0,00     91,02
00:38:14        all      4,78      0,00      1,76      0,00      0,00      0,00      0,13      0,00      0,00     93,33
00:38:15        all      5,81      0,00      3,91      0,13      0,00      0,00      0,51      0,00      0,00     89,65
00:38:16        all      5,06      0,00      2,15      0,51      0,00      0,00      0,25      0,00      0,00     92,03
00:38:17        all      4,92      0,00      2,52      0,00      0,00      0,00      0,38      0,00      0,00     92,18
00:38:18        all      4,44      0,00      2,03      0,00      0,00      0,00      0,00      0,00      0,00     93,54
00:38:19        all      4,65      0,00      2,26      0,13      0,00      0,00      0,25      0,00      0,00     92,71
00:38:20        all     11,39      0,00      3,67      0,38      0,00      0,00      0,38      0,00      0,00     84,18
00:38:21        all      4,27      0,00      1,76      0,00      0,00      0,00      0,50      0,00      0,00     93,48
00:38:22        all      4,43      0,00      2,03      0,13      0,00      0,00      0,13      0,00      0,00     93,29
00:38:23        all      4,65      0,00      2,01      0,13      0,00      0,00      0,25      0,00      0,00     92,96
00:38:24        all      4,42      0,00      2,15      0,00      0,00      0,00      0,13      0,00      0,00     93,30
00:38:25        all      5,81      0,00      4,17      0,00      0,00      0,00      0,38      0,00      0,00     89,65
00:38:26        all      4,60      0,00      2,30      0,00      0,00      0,00      0,00      0,00      0,00     93,10
00:38:27        all      4,77      0,00      1,63      0,25      0,00      0,00      0,25      0,00      0,00     93,10
00:38:28        all      4,77      0,00      2,38      0,00      0,00      0,00      0,63      0,00      0,00     92,22
00:38:29        all      5,08      0,00      2,80      0,00      0,00      0,00      0,13      0,00      0,00     91,99
00:38:30        all      4,67      0,00      2,27      0,25      0,00      0,00      0,38      0,00      0,00     92,42
00:38:31        all      7,04      0,00      4,53      0,13      0,00      0,00      0,38      0,00      0,00     87,92
00:38:32        all     11,08      0,00      2,77      0,25      0,00      0,00      0,38      0,00      0,00     85,52
00:38:33        all      4,79      0,00      2,27      0,00      0,00      0,00      0,25      0,00      0,00     92,70
00:38:34        all      4,07      0,00      2,42      0,00      0,00      0,00      0,13      0,00      0,00     93,38
00:38:35        all      5,03      0,00      2,14      0,00      0,00      0,00      0,38      0,00      0,00     92,45
00:38:36        all      7,47      0,00      4,18      0,13      0,00      0,00      0,38      0,00      0,00     87,85
00:38:37        all      4,39      0,00      2,13      0,25      0,00      0,00      0,38      0,00      0,00     92,85
00:38:38        all      4,70      0,00      1,78      0,25      0,00      0,00      0,13      0,00      0,00     93,15
00:38:39        all      4,26      0,00      1,88      0,13      0,00      0,00      0,38      0,00      0,00     93,36
00:38:40        all      4,66      0,00      2,02      0,13      0,00      0,00      0,38      0,00      0,00     92,82
00:38:41        all      5,95      0,00      3,54      0,00      0,00      0,00      0,00      0,00      0,00     90,51
00:38:42        all      4,03      0,00      2,14      0,13      0,00      0,00      0,63      0,00      0,00     93,08
00:38:43        all      9,13      0,00      2,66      0,13      0,00      0,00      0,13      0,00      0,00     87,96
00:38:44        all      4,28      0,00      2,01      0,00      0,00      0,00      0,25      0,00      0,00     93,46
00:38:45        all      4,55      0,00      1,89      0,13      0,00      0,00      0,25      0,00      0,00     93,18
00:38:46        all      6,17      0,00      3,90      0,13      0,00      0,00      0,50      0,00      0,00     89,29
00:38:47        all      5,46      0,00      3,05      0,00      0,00      0,00      0,13      0,00      0,00     91,36
00:38:48        all      4,66      0,00      2,14      0,00      0,00      0,00      0,38      0,00      0,00     92,82
00:38:49        all      6,03      0,00      2,26      0,13      0,00      0,00      0,38      0,00      0,00     91,21
00:38:50        all      4,05      0,00      2,02      0,00      0,00      0,00      0,38      0,00      0,00     93,55
00:38:51        all      5,04      0,00      1,76      0,13      0,00      0,00      0,38      0,00      0,00     92,70
00:38:52        all      6,44      0,00      4,04      0,13      0,00      0,00      0,13      0,00      0,00     89,27
00:38:53        all      4,29      0,00      2,02      0,13      0,00      0,00      0,38      0,00      0,00     93,18
00:38:54        all      9,84      0,00      2,14      0,00      0,00      0,00      0,25      0,00      0,00     87,77
00:38:55        all      4,03      0,00      2,01      0,13      0,00      0,00      0,25      0,00      0,00     93,58
00:38:56        all      4,07      0,00      2,04      0,00      0,00      0,00      0,25      0,00      0,00     93,64
00:38:57        all      5,91      0,00      4,53      0,38      0,00      0,00      0,50      0,00      0,00     88,68
00:38:58        all      4,53      0,00      2,64      0,00      0,00      0,00      0,50      0,00      0,00     92,33
00:38:59        all      5,18      0,00      2,78      0,25      0,00      0,00      0,38      0,00      0,00     91,40
00:39:00        all      4,91      0,00      2,27      0,13      0,00      0,00      0,25      0,00      0,00     92,44
00:39:01        all      4,55      0,00      1,52      0,13      0,00      0,00      0,38      0,00      0,00     93,43
00:39:02        all      8,48      0,00      5,57      0,00      0,00      0,00      0,38      0,00      0,00     85,57
00:39:03        all      4,30      0,00      1,90      0,00      0,00      0,00      0,25      0,00      0,00     93,55
00:39:04        all     10,03      0,00      3,01      0,25      0,00      0,00      0,50      0,00      0,00     86,22
00:39:05        all      4,53      0,00      2,14      0,00      0,00      0,00      0,13      0,00      0,00     93,21
00:39:06        all      4,68      0,00      1,77      0,00      0,00      0,00      0,13      0,00      0,00     93,42
00:39:07        all      6,05      0,00      3,53      0,25      0,00      0,00      0,25      0,00      0,00     89,91
00:39:08        all      5,04      0,00      2,52      0,00      0,00      0,00      0,63      0,00      0,00     91,80
00:39:09        all      4,78      0,00      2,01      0,13      0,00      0,00      0,50      0,00      0,00     92,58
00:39:10        all      4,55      0,00      1,77      0,25      0,00      0,00      0,25      0,00      0,00     93,18
00:39:11        all      4,40      0,00      1,76      0,13      0,00      0,00      0,13      0,00      0,00     93,58
00:39:12        all      4,44      0,00      2,41      0,00      0,00      0,00      0,25      0,00      0,00     92,90
00:39:13        all      6,68      0,00      4,54      0,13      0,00      0,00      0,50      0,00      0,00     88,15
00:39:14        all      4,55      0,00      2,02      0,13      0,00      0,00      0,25      0,00      0,00     93,05
00:39:15        all      8,94      0,00      2,14      0,13      0,00      0,00      0,25      0,00      0,00     88,54
00:39:16        all      5,04      0,00      2,27      0,13      0,00      0,00      0,13      0,00      0,00     92,43
00:39:17        all      4,92      0,00      2,15      0,13      0,00      0,00      0,38      0,00      0,00     92,42
00:39:18        all      6,32      0,00      3,92      0,25      0,00      0,00      0,25      0,00      0,00     89,25
00:39:19        all      4,79      0,00      2,14      0,00      0,00      0,00      0,38      0,00      0,00     92,70
00:39:20        all      4,55      0,00      1,64      0,13      0,00      0,00      0,51      0,00      0,00     93,18
00:39:21        all      4,53      0,00      1,51      0,00      0,00      0,00      0,25      0,00      0,00     93,70
00:39:22        all      4,56      0,00      1,90      0,13      0,00      0,00      0,13      0,00      0,00     93,29
