procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0   4132 1529032 420488 20997244    0    0     0   780 4320 3538  5  3 91  1  0  0
 2  0   4132 1537440 420488 20997256    0    0     0   148 2856 1818  4  2 93  0  0  0
 1  0   4132 1533940 420488 20997288    0    0     0   200 3125 2004  5  3 92  0  0  0
 1  0   4132 1532176 420488 20997324    0    0     0   116 2994 1849  5  2 93  0  0  0
 1  0   4132 1536280 420488 20997364    0    0     0  1064 5114 4428  6  4 90  0  0  0
 1  0   4132 1533008 420488 20997404    0    0     0   256 3167 2008  4  2 93  0  0  0
 2  0   4132 1532756 420488 20997436    0    0     0   100 2908 1990  5  2 93  0  0  0
 2  0   4132 1534896 420488 20997468    0    0     0   280 3617 2386  9  3 88  0  0  0
 1  0   4132 1532408 420488 20997488    0    0     0    84 3015 2094  4  2 93  0  0  0
 1  0   4132 1528124 420488 20997652    0    0     0   168 4329 3132  6  4 89  0  0  0
 2  0   4132 1525632 420488 20997672    0    0     0   232 3748 2499  5  3 92  0  0  0
 2  0   4132 1521600 420488 20997724    0    0     0   272 3621 2534  5  3 92  0  0  0
 1  0   4132 1519836 420488 20997748    0    0     0   260 3326 2307  5  2 93  0  0  0
 1  0   4132 1517768 420488 20997772    0    0     0   112 3304 2243  5  2 93  0  0  0
 4  0   4132 1518216 420488 20997792    0    0     0   204 3469 2414  5  3 92  0  0  0
 1  0   4132 1523788 420488 20997832    0    0     0   992 4470 3086  6  4 91  0  0  0
 2  0   4132 1519288 420488 20997856    0    0     0   164 4543 4097  5  3 92  0  0  0
 5  0   4132 1530396 420488 20997880    0    0     0   240 3456 2574  5  2 93  0  0  0
 2  0   4132 1528572 420488 20997896    0    0     0    88 6898 7417  7  3 89  0  0  0
 1  0   4132 1527840 420488 20997924    0    0     0   116 4122 2894 10  2 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0   4132 1529824 420488 20997944    0    0     0   152 4371 3129  6  4 90  0  0  0
 2  0   4132 1528060 420488 20997984    0    0     0   132 3398 2462  5  3 92  0  0  0
 2  0   4132 1525744 420488 20998016    0    0     0   100 3098 2425  4  2 94  0  0  0
 2  0   4132 1523480 420488 20998044    0    0     0   260 3494 2440  5  2 92  0  0  0
 4  0   4132 1526348 420488 20998072    0    0     0    76 3433 2593  4  2 93  0  0  0
 3  0   4132 1525852 420488 20998112    0    0     0  1164 4548 3459  6  4 90  0  0  0
 2  0   4132 1523864 420488 20998128    0    0     0   100 3168 2183  5  2 93  0  0  0
 2  0   4132 1524776 420488 20998152    0    0     0   112 3592 2601  5  2 92  0  0  0
 3  0   4132 1523488 420488 20998188    0    0     0   224 3076 2216  5  2 93  0  0  0
 2  0   4132 1521472 420488 20998220    0    0     0   128 3669 2528  5  3 92  0  0  0
 2  0   4132 1514632 420488 20998248    0    0     0   132 5952 5208  7  5 88  0  0  0
 3  0   4132 1521024 420488 20998288    0    0     0   124 3517 2444  4  2 93  0  0  0
 1  0   4132 1519260 420488 20998316    0    0     0    80 3374 2205  9  2 88  0  0  0
 2  0   4132 1517496 420488 20998348    0    0     0   236 3301 2356  4  3 93  0  0  0
 2  0   4132 1515588 420488 20998384    0    0     0    68 4276 4106  5  3 92  0  0  0
 3  0   4132 1515708 420488 20998408    0    0     0   184 3689 2666  5  3 92  0  0  0
 2  0   4132 1521564 420488 20998448    0    0     0   996 3989 2765  5  3 92  0  0  0
 1  0   4132 1518288 420488 20998472    0    0     0   112 3700 2624  5  3 92  0  0  0
 1  0   4132 1522212 420488 20998512    0    0     0   428 3181 2139  5  2 93  0  0  0
 0  0   4132 1517068 420488 20998532    0    0     0   116 3569 2461  5  3 92  0  0  0
 1  0   4132 1518520 420488 20998552    0    0     0    88 3352 2293  5  3 92  0  0  0
