run_id,scenario,target,iface,service,n,min_ms,q1_ms,median_ms,mean_ms,q3_ms,p95_ms,p99_ms,max_ms,std_ms,ci95_low_ms,ci95_high_ms,source_file
baseline_1h_PRIVATE_IP_022_20260624_160330,baseline_1h,PRIVATE_IP_022,tun0,ICMP,18000,1.690,2.510,2.650,2.848,2.910,3.830,5.470,44.500,0.933,2.835,2.862,raw/ping_PRIVATE_IP_022.log
baseline_1h_PRIVATE_IP_022_20260624_160330,baseline_1h,PRIVATE_IP_022,tun0,TCP_CONNECT,600,2.285,3.533,3.773,3.776,3.965,4.732,5.757,10.663,0.608,3.727,3.824,csv/tcp_connect_PRIVATE_IP_022_502.csv
