sample,epoch,target,port,ok,tcp_connect_ms,error
97,1782338774.6073282,PRIVATE_IP_022,502,1,4.179360,
98,1782338774.8109164,PRIVATE_IP_022,502,1,3.222183,
99,1782338775.0148726,PRIVATE_IP_022,502,1,3.811024,
100,1782338775.2188754,PRIVATE_IP_022,502,1,3.814314,
101,1782338775.4229312,PRIVATE_IP_022,502,1,3.731099,
102,1782338775.627146,PRIVATE_IP_022,502,1,4.005125,
103,1782338775.8308346,PRIVATE_IP_022,502,1,3.545483,
104,1782338776.0349715,PRIVATE_IP_022,502,1,3.937106,
105,1782338776.2390792,PRIVATE_IP_022,502,1,3.890987,
106,1782338776.443037,PRIVATE_IP_022,502,1,3.724167,
107,1782338776.6469836,PRIVATE_IP_022,502,1,3.739326,
108,1782338776.852747,PRIVATE_IP_022,502,1,5.607433,
109,1782338777.0572042,PRIVATE_IP_022,502,1,4.304446,
110,1782338777.261437,PRIVATE_IP_022,502,1,4.054925,
111,1782338777.4650412,PRIVATE_IP_022,502,1,3.494007,
112,1782338777.669025,PRIVATE_IP_022,502,1,3.818883,
113,1782338777.8737884,PRIVATE_IP_022,502,1,4.613682,
114,1782338778.0777502,PRIVATE_IP_022,502,1,3.808278,
115,1782338778.2818358,PRIVATE_IP_022,502,1,3.964947,
116,1782338778.486122,PRIVATE_IP_022,502,1,4.022557,
117,1782338778.6899803,PRIVATE_IP_022,502,1,3.661383,
118,1782338778.8940318,PRIVATE_IP_022,502,1,3.829650,
119,1782338779.0980594,PRIVATE_IP_022,502,1,3.823779,
120,1782338779.301956,PRIVATE_IP_022,502,1,3.631500,
121,1782338779.506666,PRIVATE_IP_022,502,1,4.561867,
122,1782338779.709597,PRIVATE_IP_022,502,1,2.800502,
123,1782338779.9139948,PRIVATE_IP_022,502,1,4.109155,
124,1782338780.1180348,PRIVATE_IP_022,502,1,3.775775,
125,1782338780.3223715,PRIVATE_IP_022,502,1,4.082824,
126,1782338780.5259526,PRIVATE_IP_022,502,1,3.259301,
127,1782338780.7286427,PRIVATE_IP_022,502,1,2.572447,
128,1782338780.933547,PRIVATE_IP_022,502,1,4.731407,
129,1782338781.137965,PRIVATE_IP_022,502,1,4.235664,
130,1782338781.3422568,PRIVATE_IP_022,502,1,4.087299,
131,1782338781.5460286,PRIVATE_IP_022,502,1,3.507727,
132,1782338781.7494946,PRIVATE_IP_022,502,1,3.268475,
133,1782338781.9531524,PRIVATE_IP_022,502,1,3.469104,
134,1782338782.1570034,PRIVATE_IP_022,502,1,3.695215,
135,1782338782.360986,PRIVATE_IP_022,502,1,3.785160,
136,1782338782.5651393,PRIVATE_IP_022,502,1,3.954236,
137,1782338782.7687216,PRIVATE_IP_022,502,1,3.413710,
138,1782338782.9727795,PRIVATE_IP_022,502,1,3.796840,
139,1782338783.177024,PRIVATE_IP_022,502,1,3.983450,
140,1782338783.3812544,PRIVATE_IP_022,502,1,4.017892,
141,1782338783.5851505,PRIVATE_IP_022,502,1,3.672273,
142,1782338783.7893372,PRIVATE_IP_022,502,1,4.035838,
143,1782338783.9926965,PRIVATE_IP_022,502,1,3.129268,
144,1782338784.1969001,PRIVATE_IP_022,502,1,3.923798,
145,1782338784.4014807,PRIVATE_IP_022,502,1,4.392627,
146,1782338784.6060286,PRIVATE_IP_022,502,1,4.288632,
147,1782338784.809875,PRIVATE_IP_022,502,1,3.685360,
148,1782338785.0138848,PRIVATE_IP_022,502,1,3.836874,
149,1782338785.2179224,PRIVATE_IP_022,502,1,3.757932,
150,1782338785.4222102,PRIVATE_IP_022,502,1,4.032050,
151,1782338785.6260576,PRIVATE_IP_022,502,1,3.688515,
152,1782338785.8297749,PRIVATE_IP_022,502,1,3.530416,
153,1782338786.0326455,PRIVATE_IP_022,502,1,2.734433,
154,1782338786.2359972,PRIVATE_IP_022,502,1,3.127568,
155,1782338786.4398057,PRIVATE_IP_022,502,1,3.644069,
156,1782338786.6440327,PRIVATE_IP_022,502,1,4.053618,
157,1782338786.847988,PRIVATE_IP_022,502,1,3.711116,
158,1782338787.0520866,PRIVATE_IP_022,502,1,3.873376,
159,1782338787.2557528,PRIVATE_IP_022,502,1,3.486489,
160,1782338787.4599354,PRIVATE_IP_022,502,1,3.980588,
161,1782338787.664117,PRIVATE_IP_022,502,1,3.993283,
162,1782338787.8677504,PRIVATE_IP_022,502,1,3.469568,
163,1782338788.0723557,PRIVATE_IP_022,502,1,4.399814,
164,1782338788.2758677,PRIVATE_IP_022,502,1,3.407480,
165,1782338788.4799232,PRIVATE_IP_022,502,1,3.756495,
166,1782338788.683869,PRIVATE_IP_022,502,1,3.699461,
167,1782338788.8880816,PRIVATE_IP_022,502,1,3.980503,
168,1782338789.0921361,PRIVATE_IP_022,502,1,3.803083,
169,1782338789.2957933,PRIVATE_IP_022,502,1,3.480528,
170,1782338789.4999344,PRIVATE_IP_022,502,1,3.845872,
171,1782338789.7026978,PRIVATE_IP_022,502,1,2.622386,
172,1782338789.9069304,PRIVATE_IP_022,502,1,4.074675,
173,1782338790.110704,PRIVATE_IP_022,502,1,3.617424,
174,1782338790.3137517,PRIVATE_IP_022,502,1,2.899662,
175,1782338790.5167215,PRIVATE_IP_022,502,1,2.831528,
176,1782338790.7206392,PRIVATE_IP_022,502,1,3.562306,
177,1782338790.9242053,PRIVATE_IP_022,502,1,3.387118,
178,1782338791.1278,PRIVATE_IP_022,502,1,3.281287,
179,1782338791.332302,PRIVATE_IP_022,502,1,4.291888,
180,1782338791.5359008,PRIVATE_IP_022,502,1,3.324705,
181,1782338791.7394946,PRIVATE_IP_022,502,1,3.413283,
182,1782338791.9440563,PRIVATE_IP_022,502,1,4.341578,
183,1782338792.14788,PRIVATE_IP_022,502,1,3.594707,
184,1782338792.3531775,PRIVATE_IP_022,502,1,5.092838,
185,1782338792.5570521,PRIVATE_IP_022,502,1,3.684274,
186,1782338792.7608042,PRIVATE_IP_022,502,1,3.533742,
187,1782338792.9650126,PRIVATE_IP_022,502,1,3.889181,
