run_id,scenario,target,iface,service,sample,timestamp,value_ms,ok,source_file,notes
baseline_1h_PRIVATE_IP_022_20260624_160330,baseline_1h,PRIVATE_IP_022,tun0,ICMP,32,1782335144.661655,2.61,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
baseline_1h_PRIVATE_IP_022_20260624_160330,baseline_1h,PRIVATE_IP_022,tun0,ICMP,33,1782335144.862381,2.36,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
baseline_1h_PRIVATE_IP_022_20260624_160330,baseline_1h,PRIVATE_IP_022,tun0,ICMP,34,1782335145.063376,2.57,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
baseline_1h_PRIVATE_IP_022_20260624_160330,baseline_1h,PRIVATE_IP_022,tun0,ICMP,35,1782335145.264439,2.58,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
baseline_1h_PRIVATE_IP_022_20260624_160330,baseline_1h,PRIVATE_IP_022,tun0,ICMP,36,1782335145.465518,2.64,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
baseline_1h_PRIVATE_IP_022_20260624_160330,baseline_1h,PRIVATE_IP_022,tun0,ICMP,37,1782335145.667649,3.81,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
baseline_1h_PRIVATE_IP_022_20260624_160330,baseline_1h,PRIVATE_IP_022,tun0,ICMP,38,1782335145.867795,2.61,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
baseline_1h_PRIVATE_IP_022_20260624_160330,baseline_1h,PRIVATE_IP_022,tun0,ICMP,39,1782335146.068592,2.31,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
baseline_1h_PRIVATE_IP_022_20260624_160330,baseline_1h,PRIVATE_IP_022,tun0,ICMP,40,1782335146.269445,2.45,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
baseline_1h_PRIVATE_IP_022_20260624_160330,baseline_1h,PRIVATE_IP_022,tun0,ICMP,41,1782335146.470550,2.60,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
baseline_1h_PRIVATE_IP_022_20260624_160330,baseline_1h,PRIVATE_IP_022,tun0,ICMP,42,1782335146.671527,2.59,1,raw/ping_PRIVATE_IP_022.log,muestra ICMP echo reply
